"substance";"product";"SCI-Grow";"Reference.SCI-Grow";"Load.Factor.SCI";"BCF";"Reference.BCF";"Load.Factor.BCF";"SoilDT50";"Reference.SoilDT50";"Load.Factor.SoilDT50";"Birds.Acute.LD50.mg.kg";"Reference.Value.Birds";"Load.Factor.Birds";"Mammals.Acute.Oral.LD50.mg.kg.BW.day";"Reference.Value.Mammals";"Load.Factor.Mammals";"Fish.Acute.96hr.LC50.mg.l";"Reference.Value.Fish";"Load.Factor.Fish";"Aquatic.Invertebrates.Acute.48hr.EC50.mg.l";"Reference.Value.Aquatic.Invertebrates";"Load.Factor.Aquatic.Invertebrates";"Algae.Acute.72hr.EC50.Growth.mg.l";"Reference.Value.Algae";"Load.Factor.Algae";"Aquatic.Plants.Acute.7d.EC50.mg.l";"Reference.Value.Aquatic.Plants";"Load.Factor.Aquatic.Plants";"Earthworms.Acute.14d.LC50.mg.kg";"Reference.Value.Earthworms";"Load.Factor.Earthworms";"BeesLD50";"Reference.Value.Bees";"Load.Factor.Bees";"Fish.Chronic.21d.NOEC.mg.l.corrected";"Reference.Value.Fish.Chronic";"Load.Factor.Fish.Chronic";"water.phase.DT50.days";"Aquatic.Invertebrates.Chronic.21d.NOEC.mg.l.correted";"Reference.Value.Aquatic.Invertebrates.Chronic";"Load.Factor.Aquatic.Invertebrates.Chronic";"Earthworms.Chronic.14d.NOEC..Reproduction.mg.kg.corrected";"Reference.Value.Earthworms.Chronic";"Load.Factor.Earthworms.Chronic";"concentration"
"MCPP-P - Mecoprop-P";"31523 1";0,00441014047091435;12,5;20;3;5100;2,5;5,24;354;2,5;500;10;1;431;8;1;93;0,00021;30;91;0,00015;30;16,2;2e-05;3;1,6;0,00035;3;988;1;2;100;0,015;100;50;0,00015;3;92;22,7;0,00015;3;0;0,8;2;0,0481
"Chlormequat (Chlorcholinchlorid) (CCC)";"31524 1";0,138563794422424;12,5;20;0,01;5100;2,5;25,3;354;2,5;441;10;1;115;8;1;100;0,00021;30;31,7;0,00015;30;100;2e-05;3;5,3;0,00035;3;320;1;2;72,7;0,015;100;43,1;0,00015;3;0,5;2,4;0,00015;3;681;0,8;2;0,46
"Chlorpropham (CIPC)";"31525 1";0,0102933211022841;12,5;20;144;5100;2,5;7,3;354;2,5;2000;10;1;4200;8;1;7,5;0,00021;30;2,6;0,00015;30;1;2e-05;3;1,67;0,00035;3;132;1;2;276;0,015;100;0,32;0,00015;3;60;1;0,00015;3;0;0,8;2;0,0087
"Bifenox";"31526 1";0,00587556530046039;12,5;20;1500;5100;2,5;7,15;354;2,5;2000;10;1;5000;8;1;0,67;0,00021;30;0,66;0,00015;30;0,00018;2e-05;3;0,0021;0,00035;3;1000;1;2;200;0,015;100;0,009;0,00015;3;0;0,00015;0,00015;3;0;0,8;2;0,15
"Isoproturon";"31526 1";0,0486362216225364;12,5;20;177;5100;2,5;12;354;2,5;1401;10;1;1826;8;1;18;0,00021;30;0,58;0,00015;30;0,013;2e-05;3;0,031;0,00035;3;1000;1;2;197,5;0,015;100;1;0,00015;3;40;0,12;0,00015;3;0;0,8;2;0,3
"MCPP-P - Mecoprop-P";"31526 1";0,00441014047091435;12,5;20;3;5100;2,5;5,24;354;2,5;500;10;1;431;8;1;93;0,00021;30;91;0,00015;30;16,2;2e-05;3;1,6;0,00035;3;988;1;2;100;0,015;100;50;0,00015;3;92;22,7;0,00015;3;0;0,8;2;0,1453
"(S)-cis-Verbenol";"31527 14";0;12,5;20;0;5100;2,5;0;354;2,5;0;10;1;0;8;1;0;0,00021;30;0;0,00015;30;0;2e-05;3;0;0,00035;3;0;1;2;0;0,015;100;0;0,00015;3;0;0;0,00015;3;0;0,8;2;0,000157
"Ipsdienol";"31527 14";0;12,5;20;0;5100;2,5;0;354;2,5;0;10;1;0;8;1;0;0,00021;30;0;0,00015;30;0;2e-05;3;0;0,00035;3;0;1;2;0;0,015;100;0;0,00015;3;0;0;0,00015;3;0;0,8;2;1,6e-05
"Methylbutenol";"31527 14";0;12,5;20;0;5100;2,5;0;354;2,5;0;10;1;0;8;1;0;0,00021;30;0;0,00015;30;0;2e-05;3;0;0,00035;3;0;1;2;0;0,015;100;0;0,00015;3;0;0;0,00015;3;0;0,8;2;0,002827
"Calciumcyanamid Kalkstickstoff";"31528 2";0;12,5;20;0;5100;2,5;0;354;2,5;0;10;1;1400;8;1;0;0,00021;30;0;0,00015;30;0;2e-05;3;0;0,00035;3;0;1;2;0;0,015;100;0;0,00015;3;0;0;0,00015;3;0;0,8;2;0,035
"Eisen-II-Sulfat";"31528 2";0;12,5;20;0;5100;2,5;0;354;2,5;1231;10;1;1185;8;1;45,1;0,00021;30;31,2;0,00015;30;76,6;2e-05;3;103,4;0,00035;3;3829;1;2;0;0,015;100;3,4;0,00015;3;0;1,08;0,00015;3;0;0,8;2;0,085
"Cyhexatin";"31529 2";0,0118035328789953;12,5;20;5100;5100;2,5;50;354;2,5;520;10;1;265;8;1;0,06;0,00021;30;2e-04;0,00015;30;1,8e-05;2e-05;3;0;0,00035;3;0;1;2;32;0,015;100;0;0,00015;3;0;0;0,00015;3;0;0,8;2;0,25
"Linuron";"31530 1";0,10479990300985;12,5;20;49;5100;2,5;57,6;354;2,5;314;10;1;1146;8;1;3,15;0,00021;30;0,31;0,00015;30;0,016;2e-05;3;0,017;0,00035;3;1000;1;2;160;0,015;100;0,1;0,00015;3;13;0,18;0,00015;3;0;0,8;2;0,118
"Trifluralin";"31530 1";0,00613096854925137;12,5;20;5100;5100;2,5;181;354;2,5;2250;10;1;5000;8;1;0,088;0,00021;30;0,245;0,00015;30;0,0122;2e-05;3;0,0435;0,00035;3;500;1;2;100;0,015;100;10;0,00015;3;13;0,051;0,00015;3;14,19;0,8;2;0,236
"Carbendazim";"31531 1";0,149747773591943;12,5;20;25;5100;2,5;37,15;354;2,5;2250;10;1;10000;8;1;0,19;0,00021;30;0,15;0,00015;30;7,7;2e-05;3;0;0,00035;3;5,4;1;2;403;0,015;100;0,0032;0,00015;3;7,9;0,0015;0,00015;3;1;0,8;2;0,5
"Phenmedipham";"31532 1";0,0470672535445576;12,5;20;165;5100;2,5;27,5;354;2,5;2100;10;1;8000;8;1;1,71;0,00021;30;0,41;0,00015;30;0,086;2e-05;3;0,23;0,00035;3;36;1;2;33;0,015;100;0,32;0,00015;3;0,2;0,061;0,00015;3;3,33;0,8;2;0,1619
"Adjuvantien (F, H)";"31533 1";0;12,5;20;0;5100;2,5;0;354;2,5;0;10;1;0;8;1;0;0,00021;30;0;0,00015;30;0;2e-05;3;0;0,00035;3;0;1;2;0;0,015;100;0;0,00015;3;0;0;0,00015;3;0;0,8;2;0,8
"Dimethoat";"31534 1";0,00235598224289628;12,5;20;8;5100;2,5;2,6;354;2,5;10,5;10;1;245;8;1;30,2;0,00021;30;2;0,00015;30;90,4;2e-05;3;0;0,00035;3;31;1;2;0,12;0,015;100;0,4;0,00015;3;45,3;0,04;0,00015;3;2,87;0,8;2;0,4
"Lambda-Cyhalothrin";"31535 2";0,00535307472937412;12,5;20;4982;5100;2,5;175;354;2,5;3950;10;1;56;8;1;0,00021;0,00021;30;0,00036;0,00015;30;0,3;2e-05;3;0;0,00035;3;500;1;2;0,474;0,015;100;0,00025;0,00015;3;0,24;0,3;0,00015;3;0;0,8;2;0,055
"Bromoxynil";"31536 1";0,000218516742551826;12,5;20;0;5100;2,5;0,63;354;2,5;217;10;1;81,2;8;1;29,2;0,00021;30;12,5;0,00015;30;0,12;2e-05;3;0,033;0,00035;3;45;1;2;77,5;0,015;100;2;0,00015;3;13;3,1;0,00015;3;0;0,8;2;0,06
"Dicamba";"31536 1";0,00376968441871336;12,5;20;15;5100;2,5;4;354;2,5;1373;10;1;1581;8;1;100;0,00021;30;41;0,00015;30;1,8;2e-05;3;0,45;0,00035;3;1000;1;2;100;0,015;100;180;0,00015;3;40;97;0,00015;3;0;0,8;2;0,03
"Dichlorprop-P";"31536 1";0,113229878177337;12,5;20;0;5100;2,5;14;354;2,5;234;10;1;567;8;1;109;0,00021;30;100;0,00015;30;67;2e-05;3;4,1;0,00035;3;1000;1;2;200;0,015;100;100;0,00015;3;20;100;0,00015;3;0;0,8;2;0,33
"DNBP-Azetat";"31537 1";0,636402438190941;12,5;20;1,8;5100;2,5;24;354;2,5;9,5;10;1;25;8;1;0,044;0,00021;30;0,24;0,00015;30;0;2e-05;3;0;0,00035;3;0;1;2;0;0,015;100;0;0,00015;3;0;0;0,00015;3;0;0,8;2;0,492
"Captafol";"31538 2";0;12,5;20;0;5100;2,5;0;354;2,5;0;10;1;0;8;1;0;0,00021;30;0;0,00015;30;0;2e-05;3;0;0,00035;3;0;1;2;0;0,015;100;0;0,00015;3;0;0;0,00015;3;0;0,8;2;0,5
"Fenpropimorph";"31538 2";0,00919611448450654;12,5;20;428;5100;2,5;27,3;354;2,5;2000;10;1;1670;8;1;2,3;0,00021;30;2,24;0,00015;30;0,327;2e-05;3;0;0,00035;3;500;1;2;97,8;0,015;100;0,1;0,00015;3;2,65;0;0,00015;3;4,7;0,8;2;0,3
"Aclonifen";"31539 1";0,0073611292198144;12,5;20;2896;5100;2,5;89,65;354;2,5;2000;10;1;5000;8;1;0,67;0,00021;30;1,2;0,00015;30;0,47;2e-05;3;0,006;0,00035;3;150;1;2;100;0,015;100;0,005;0,00015;3;4,2;0,016;0,00015;3;45;0,8;2;0,6
"2,4-D";"31540 1";0,00388411850397747;12,5;20;10;5100;2,5;4,4;354;2,5;500;10;1;300;8;1;100;0,00021;30;134,2;0,00015;30;24,2;2e-05;3;2,7;0,00035;3;350;1;2;97;0,015;100;27,2;0,00015;3;7,7;46,2;0,00015;3;0;0,8;2;0,6
"Bentazon";"31541 2";0,19073287570851;12,5;20;21;5100;2,5;20;354;2,5;1140;10;1;1400;8;1;100;0,00021;30;100;0,00015;30;10,1;2e-05;3;5,4;0,00035;3;870;1;2;200;0,015;100;48;0,00015;3;80;101;0,00015;3;0;0,8;2;0,87
"Mancozeb";"31542 2";0;12,5;20;0;5100;2,5;0;354;2,5;0;10;1;0;8;1;0;0,00021;30;0;0,00015;30;0;2e-05;3;0;0,00035;3;0;1;2;0;0,015;100;0;0,00015;3;0;0;0,00015;3;0;0,8;2;0,75
"Folpet";"31543 2";0,00353484393385976;12,5;20;56;5100;2,5;4,7;354;2,5;2510;10;1;2000;8;1;0,233;0,00021;30;0,68;0,00015;30;10;2e-05;3;0;0,00035;3;500;1;2;218;0,015;100;0;0,00015;3;0,02;0,002;0,00015;3;5,18;0,8;2;0,25
"Kupfer (als Kalkpräparat)";"31543 2";0;12,5;20;0;5100;2,5;0;354;2,5;616;10;1;2000;8;1;0,086;0,00021;30;1,87;0,00015;30;0,041;2e-05;3;0,145;0,00035;3;195,5;1;2;24,25;0,015;100;22,5;0,00015;3;0;0,02;0,00015;3;0;0,8;2;0,12
"Chlorothalonil (TCPN)";"31544 2";0,01114824142295;12,5;20;100;5100;2,5;9,2;354;2,5;2000;10;1;5000;8;1;0,017;0,00021;30;0,054;0,00015;30;0,21;2e-05;3;0,29;0,00035;3;268,5;1;2;82;0,015;100;0,003;0,00015;3;1,51;0,009;0,00015;3;50;0,8;2;0,75
"Folpet";"31545 2";0,00353484393385976;12,5;20;56;5100;2,5;4,7;354;2,5;2510;10;1;2000;8;1;0,233;0,00021;30;0,68;0,00015;30;10;2e-05;3;0;0,00035;3;500;1;2;218;0,015;100;0;0,00015;3;0,02;0,002;0,00015;3;5,18;0,8;2;0,8
"Mancozeb";"31546 2";0;12,5;20;0;5100;2,5;0;354;2,5;0;10;1;0;8;1;0;0,00021;30;0;0,00015;30;0;2e-05;3;0;0,00035;3;0;1;2;0;0,015;100;0;0,00015;3;0;0;0,00015;3;0;0,8;2;0,8
"Mancozeb";"31547 2";0;12,5;20;0;5100;2,5;0;354;2,5;0;10;1;0;8;1;0;0,00021;30;0;0,00015;30;0;2e-05;3;0;0,00035;3;0;1;2;0;0,015;100;0;0,00015;3;0;0;0,00015;3;0;0,8;2;0,8
"Clofentezin";"31548 1";0;12,5;20;248;5100;2,5;96,8;354;2,5;3000;10;1;5200;8;1;0,015;0,00021;30;8e-04;0,00015;30;0,32;2e-05;3;0;0,00035;3;215;1;2;168,55;0,015;100;0,007;0,00015;3;2,1;0,025;0,00015;3;2,7;0,8;2;0,5
"Dithianon";"31549 2";0,00809281359661077;12,5;20;27;5100;2,5;10,5;354;2,5;309;10;1;300;8;1;0,07;0,00021;30;0,26;0,00015;30;0,09;2e-05;3;0;0,00035;3;578;1;2;62,7;0,015;100;0,02;0,00015;3;0,05;0,05;0,00015;3;22,3;0,8;2;0,75
"Deltamethrin";"31550 1";0,00535307472937412;12,5;20;1400;5100;2,5;19,5;354;2,5;2250;10;1;87;8;1;0,00026;0,00021;30;0,00056;0,00015;30;9,1;2e-05;3;0;0,00035;3;1290;1;2;0,04025;0,015;100;3,2e-05;0,00015;3;17;4,1e-06;0,00015;3;0;0,8;2;0,025
"Mancozeb";"31551 2";0;12,5;20;0;5100;2,5;0;354;2,5;0;10;1;0;8;1;0;0,00021;30;0;0,00015;30;0;2e-05;3;0;0,00035;3;0;1;2;0;0,015;100;0;0,00015;3;0;0;0,00015;3;0;0,8;2;0,75
"Epoxiconazole";"31552 1";0,123846554446731;12,5;20;70;5100;2,5;290;354;2,5;2000;10;1;3160;8;1;3,14;0,00021;30;8,69;0,00015;30;1,19;2e-05;3;0,014;0,00035;3;500;1;2;91,5;0,015;100;0,01;0,00015;3;65,8;0,63;0,00015;3;0,084;0,8;2;0,125
"Kresoxim-methyl";"31552 1";0,000270905375380647;12,5;20;220;5100;2,5;8,435;354;2,5;2150;10;1;5000;8;1;0,19;0,00021;30;0,186;0,00015;30;0,063;2e-05;3;0,301;0,00035;3;469;1;2;105;0,015;100;0,013;0,00015;3;0,85;0,032;0,00015;3;0;0,8;2;0,125
"Metaldehyd";"31553 2";0,00423695491597105;12,5;20;11;5100;2,5;5,1;354;2,5;196;10;1;283;8;1;75;0,00021;30;78,4;0,00015;30;75,9;2e-05;3;0;0,00035;3;1000;1;2;100,25;0,015;100;37,5;0,00015;3;11,5;90;0,00015;3;0;0,8;2;0,06
"Chlormequat (Chlorcholinchlorid) (CCC)";"31554 1";0,138563794422424;12,5;20;0,01;5100;2,5;25,3;354;2,5;441;10;1;115;8;1;100;0,00021;30;31,7;0,00015;30;100;2e-05;3;5,3;0,00035;3;320;1;2;72,7;0,015;100;43,1;0,00015;3;0,5;2,4;0,00015;3;681;0,8;2;0,73
"Ethephon";"31555 1";0,0124161605971761;12,5;20;0;5100;2,5;16,25;354;2,5;764;10;1;1564;8;1;100;0,00021;30;31,7;0,00015;30;20,9;2e-05;3;1,6;0,00035;3;165,4;1;2;108,25;0,015;100;43;0,00015;3;2,4;67;0,00015;3;200;0,8;2;0,48
"Isoproturon";"31556 1";0,0486362216225364;12,5;20;177;5100;2,5;12;354;2,5;1401;10;1;1826;8;1;18;0,00021;30;0,58;0,00015;30;0,013;2e-05;3;0,031;0,00035;3;1000;1;2;197,5;0,015;100;1;0,00015;3;40;0,12;0,00015;3;0;0,8;2;0,5
"Ethofumesat";"31557 1";0,135229241326323;12,5;20;144;5100;2,5;21,6;354;2,5;2000;10;1;2000;8;1;10,92;0,00021;30;13,52;0,00015;30;3,9;2e-05;3;52,8;0,00035;3;134;1;2;50;0,015;100;0,8;0,00015;3;20;0,32;0,00015;3;25;0,8;2;0,1
"Phenmedipham";"31557 1";0,0470672535445576;12,5;20;165;5100;2,5;27,5;354;2,5;2100;10;1;8000;8;1;1,71;0,00021;30;0,41;0,00015;30;0,086;2e-05;3;0,23;0,00035;3;36;1;2;33;0,015;100;0,32;0,00015;3;0,2;0,061;0,00015;3;3,33;0,8;2;0,1
"Ethofumesat";"31558 1";0,135229241326323;12,5;20;144;5100;2,5;21,6;354;2,5;2000;10;1;2000;8;1;10,92;0,00021;30;13,52;0,00015;30;3,9;2e-05;3;52,8;0,00035;3;134;1;2;50;0,015;100;0,8;0,00015;3;20;0,32;0,00015;3;25;0,8;2;0,1
"Metamitron";"31558 1";0,136468450958389;12,5;20;75;5100;2,5;24,5;354;2,5;1302;10;1;1183;8;1;190;0,00021;30;5,7;0,00015;30;0,4;2e-05;3;0,4;0,00035;3;914;1;2;98,6;0,015;100;7;0,00015;3;10,5;10;0,00015;3;28;0,8;2;0,3
"Phenmedipham";"31558 1";0,0470672535445576;12,5;20;165;5100;2,5;27,5;354;2,5;2100;10;1;8000;8;1;1,71;0,00021;30;0,41;0,00015;30;0,086;2e-05;3;0,23;0,00035;3;36;1;2;33;0,015;100;0,32;0,00015;3;0,2;0,061;0,00015;3;3,33;0,8;2;0,1
"Rapsöl";"31559 1";0;12,5;20;0;5100;2,5;0;354;2,5;0;10;1;0;8;1;0;0,00021;30;0;0,00015;30;0;2e-05;3;0;0,00035;3;0;1;2;0;0,015;100;0;0,00015;3;0;0;0,00015;3;0;0,8;2;0,828
"Metribuzin";"31560 2";0,0764472741372659;12,5;20;10;5100;2,5;11,5;354;2,5;164;10;1;322;8;1;74,6;0,00021;30;49;0,00015;30;0,02;2e-05;3;0,008;0,00035;3;427;1;2;183;0,015;100;5,6;0,00015;3;41;0,32;0,00015;3;5,25;0,8;2;0,7
"Napropamid";"31561 1";0,199406538266745;12,5;20;98;5100;2,5;189;354;2,5;2250;10;1;4680;8;1;6,6;0,00021;30;14,3;0,00015;30;3,4;2e-05;3;0,24;0,00035;3;282;1;2;100;0,015;100;1,1;0,00015;3;28;4,3;0,00015;3;30;0,8;2;0,45
"Hexythiazox";"31562 2";0,00534756750846004;12,5;20;1100;5100;2,5;26,85;354;2,5;2000;10;1;5000;8;1;3,2;0,00021;30;0,47;0,00015;30;0,4;2e-05;3;0;0,00035;3;105;1;2;156;0,015;100;0,04;0,00015;3;11,5;0,0061;0,00015;3;0;0,8;2;0,1
"Cymoxanil";"31563 2";0,00114603044978757;12,5;20;0;5100;2,5;1,05;354;2,5;2945;10;1;760;8;1;29;0,00021;30;27;0,00015;30;0,254;2e-05;3;0,7;0,00035;3;1000;1;2;92,65;0,015;100;0,22;0,00015;3;0,3;0,067;0,00015;3;6,6;0,8;2;0,1
"Dithianon";"31563 2";0,00809281359661077;12,5;20;27;5100;2,5;10,5;354;2,5;309;10;1;300;8;1;0,07;0,00021;30;0,26;0,00015;30;0,09;2e-05;3;0;0,00035;3;578;1;2;62,7;0,015;100;0,02;0,00015;3;0,05;0,05;0,00015;3;22,3;0,8;2;0,25
"Guazatin";"31564 13";0,00535307472937412;12,5;20;0,04;5100;2,5;18;354;2,5;57,9;10;1;308;8;1;0,42;0,00021;30;0,15;0,00015;30;0,0135;2e-05;3;0;0,00035;3;3420;1;2;59;0,015;100;0,044;0,00015;3;30;0;0,00015;3;14,4;0,8;2;3e-04
"Tebuconazol";"31564 13";0,276877557519187;12,5;20;78;5100;2,5;214;354;2,5;1988;10;1;1700;8;1;4,4;0,00021;30;2,79;0,00015;30;1,96;2e-05;3;0,144;0,00035;3;1381;1;2;141,525;0,015;100;0,012;0,00015;3;42,6;0,01;0,00015;3;10;0,8;2;1,51e-05
"Alachlor";"31565 1";0,0218499510496615;12,5;20;39;5100;2,5;24,5;354;2,5;1536;10;1;930;8;1;1,8;0,00021;30;10;0,00015;30;0,966;2e-05;3;0,01;0,00035;3;386,8;1;2;16;0,015;100;0,19;0,00015;3;0;0,22;0,00015;3;0;0,8;2;0,48
"Diazinon";"31566 1";0,014245677984486;12,5;20;500;5100;2,5;9,1;354;2,5;1,44;10;1;1139;8;1;3,1;0,00021;30;0,001;0,00015;30;6,4;2e-05;3;0;0,00035;3;65;1;2;0,11;0,015;100;0,7;0,00015;3;4,3;0,00056;0,00015;3;0;0,8;2;0,24
"Diazinon";"31567 1";0,014245677984486;12,5;20;500;5100;2,5;9,1;354;2,5;1,44;10;1;1139;8;1;3,1;0,00021;30;0,001;0,00015;30;6,4;2e-05;3;0;0,00035;3;65;1;2;0,11;0,015;100;0,7;0,00015;3;4,3;0,00056;0,00015;3;0;0,8;2;0,23
"Kresoxim-methyl";"31568 2";0,000270905375380647;12,5;20;220;5100;2,5;8,435;354;2,5;2150;10;1;5000;8;1;0,19;0,00021;30;0,186;0,00015;30;0,063;2e-05;3;0,301;0,00035;3;469;1;2;105;0,015;100;0,013;0,00015;3;0,85;0,032;0,00015;3;0;0,8;2;0,5
"Isoproturon";"31569 1";0,0486362216225364;12,5;20;177;5100;2,5;12;354;2,5;1401;10;1;1826;8;1;18;0,00021;30;0,58;0,00015;30;0,013;2e-05;3;0,031;0,00035;3;1000;1;2;197,5;0,015;100;1;0,00015;3;40;0,12;0,00015;3;0;0,8;2;0,5
"Aluminiumfosetyl (Fosetyl-Al)";"31570 2";0;12,5;20;0;5100;2,5;0,1;354;2,5;8000;10;1;7080;8;1;122;0,00021;30;100;0,00015;30;5,9;2e-05;3;79,7;0,00035;3;1000;1;2;731;0,015;100;100;0,00015;3;4;17;0,00015;3;0;0,8;2;0,8
"Aluminiumfosetyl (Fosetyl-Al)";"31571 2";0;12,5;20;0;5100;2,5;0,1;354;2,5;8000;10;1;7080;8;1;122;0,00021;30;100;0,00015;30;5,9;2e-05;3;79,7;0,00035;3;1000;1;2;731;0,015;100;100;0,00015;3;4;17;0,00015;3;0;0,8;2;0,8
"Aluminiumfosetyl (Fosetyl-Al)";"31572 2";0;12,5;20;0;5100;2,5;0,1;354;2,5;8000;10;1;7080;8;1;122;0,00021;30;100;0,00015;30;5,9;2e-05;3;79,7;0,00035;3;1000;1;2;731;0,015;100;100;0,00015;3;4;17;0,00015;3;0;0,8;2;0,5
"Folpet";"31572 2";0,00353484393385976;12,5;20;56;5100;2,5;4,7;354;2,5;2510;10;1;2000;8;1;0,233;0,00021;30;0,68;0,00015;30;10;2e-05;3;0;0,00035;3;500;1;2;218;0,015;100;0;0,00015;3;0,02;0,002;0,00015;3;5,18;0,8;2;0,25
"Cyproconazol";"31573 1";0,377736750152061;12,5;20;28;5100;2,5;142;354;2,5;94;10;1;350;8;1;19;0,00021;30;22;0,00015;30;0,099;2e-05;3;0,059;0,00035;3;168;1;2;100;0,015;100;0,65;0,00015;3;0;0,29;0,00015;3;0,75;0,8;2;0,1
"Clopyralid";"31574 1";2,4301909094847;12,5;20;1;5100;2,5;34;354;2,5;1465;10;1;2675;8;1;99,9;0,00021;30;99;0,00015;30;30,5;2e-05;3;89;0,00035;3;1000;1;2;99,05;0,015;100;10,8;0,00015;3;148;17;0,00015;3;2;0,8;2;0,1
"Aluminiumfosetyl (Fosetyl-Al)";"31575 2";0;12,5;20;0;5100;2,5;0,1;354;2,5;8000;10;1;7080;8;1;122;0,00021;30;100;0,00015;30;5,9;2e-05;3;79,7;0,00035;3;1000;1;2;731;0,015;100;100;0,00015;3;4;17;0,00015;3;0;0,8;2;0,8
"Cymoxanil";"31576 2";0,00114603044978757;12,5;20;0;5100;2,5;1,05;354;2,5;2945;10;1;760;8;1;29;0,00021;30;27;0,00015;30;0,254;2e-05;3;0,7;0,00035;3;1000;1;2;92,65;0,015;100;0,22;0,00015;3;0,3;0,067;0,00015;3;6,6;0,8;2;0,04
"Mancozeb";"31576 2";0;12,5;20;0;5100;2,5;0;354;2,5;0;10;1;0;8;1;0;0,00021;30;0;0,00015;30;0;2e-05;3;0;0,00035;3;0;1;2;0;0,015;100;0;0,00015;3;0;0;0,00015;3;0;0,8;2;0,667
"Amitraz";"31577 1";1,01010947019663e-05;12,5;20;1838;5100;2,5;0,2;354;2,5;788;10;1;800;8;1;0,74;0,00021;30;0,035;0,00015;30;12;2e-05;3;0;0,00035;3;1000;1;2;50;0,015;100;0;0,00015;3;0;0,002;0,00015;3;0;0,8;2;0,2
"Schwefel";"31578 2";0,0199103330212164;12,5;20;0;5100;2,5;0;354;2,5;2000;10;1;2000;8;1;0,063;0,00021;30;0,063;0,00015;30;0,063;2e-05;3;0;0,00035;3;2000;1;2;103,4;0,015;100;0;0,00015;3;708;0;0,00015;3;0;0,8;2;0,8
"Pendimethalin";"31579 1";0,00535307472937412;12,5;20;5100;5100;2,5;182,3;354;2,5;1421;10;1;4665;8;1;0,196;0,00021;30;0,147;0,00015;30;0,004;2e-05;3;0,022;0,00035;3;1000;1;2;100,6;0,015;100;0,006;0,00015;3;4;0,0145;0,00015;3;33,45;0,8;2;0,4
"Anthocoris nemoralis";"31580 5";0;12,5;20;0;5100;2,5;0;354;2,5;0;10;1;0;8;1;0;0,00021;30;0;0,00015;30;0;2e-05;3;0;0,00035;3;0;1;2;0;0,015;100;0;0,00015;3;0;0;0,00015;3;0;0,8;2;0,1
"Metaldehyd";"31581 2";0,00423695491597105;12,5;20;11;5100;2,5;5,1;354;2,5;196;10;1;283;8;1;75;0,00021;30;78,4;0,00015;30;75,9;2e-05;3;0;0,00035;3;1000;1;2;100,25;0,015;100;37,5;0,00015;3;11,5;90;0,00015;3;0;0,8;2;0,06
"Dicamba";"31582 1";0,00376968441871336;12,5;20;15;5100;2,5;4;354;2,5;1373;10;1;1581;8;1;100;0,00021;30;41;0,00015;30;1,8;2e-05;3;0,45;0,00035;3;1000;1;2;100;0,015;100;180;0,00015;3;40;97;0,00015;3;0;0,8;2;0,03
"MCPA";"31582 1";0,223556026400756;12,5;20;1;5100;2,5;24;354;2,5;234;10;1;962;8;1;72;0,00021;30;190;0,00015;30;79,8;2e-05;3;0,152;0,00035;3;325;1;2;200;0,015;100;15;0,00015;3;13,5;50;0,00015;3;0;0,8;2;0,363
"Atrazin";"31583 1";0,409434616203461;12,5;20;4,3;5100;2,5;70,5;354;2,5;4237;10;1;1869;8;1;4,5;0,00021;30;85;0,00015;30;0,059;2e-05;3;0,019;0,00035;3;79;1;2;100;0,015;100;2;0,00015;3;0;0,25;0,00015;3;0;0,8;2;0,249
"Sulcotrione";"31583 1";0,410610642663747;12,5;20;0;5100;2,5;25,15;354;2,5;1350;10;1;5000;8;1;227;0,00021;30;848;0,00015;30;1,2;2e-05;3;0,051;0,00035;3;1000;1;2;125;0,015;100;3,2;0,00015;3;9,5;75;0,00015;3;0;0,8;2;0,15
"Propineb";"31584 2";0;12,5;20;0;5100;2,5;4,3;354;2,5;5000;10;1;5000;8;1;0,33;0,00021;30;1,5;0,00015;30;0,055;2e-05;3;0;0,00035;3;700;1;2;103,95;0,015;100;0,082;0,00015;3;1;0,015;0,00015;3;0;0,8;2;0,7
"Zineb";"31585 2";0,0363369412098482;12,5;20;20;5100;2,5;30;354;2,5;2000;10;1;5200;8;1;20,8;0,00021;30;40;0,00015;30;0,51;2e-05;3;0;0,00035;3;960;1;2;13,1;0,015;100;0;0,00015;3;0;0;0,00015;3;0;0,8;2;0,8
"Fluroxypyr-meptyl";"31586 1";0,00535307472937412;12,5;20;4309,23322818626;5100;2,5;1;354;2,5;2000;10;1;2000;8;1;0,225;0,00021;30;0,183;0,00015;30;0,5;2e-05;3;2,31;0,00035;3;1000;1;2;100;0,015;100;0,2;0,00015;3;0;0,06;0,00015;3;0;0,8;2;0,259
"Prochloraz";"31587 1";0,0809985796633021;12,5;20;371;5100;2,5;171,8;354;2,5;662;10;1;1023;8;1;1,5;0,00021;30;4,3;0,00015;30;0,0055;2e-05;3;0,171;0,00035;3;500;1;2;121,15;0,015;100;0,049;0,00015;3;2;0;0,00015;3;4,2;0,8;2;0,45
"Clofentezin";"31588 1";0;12,5;20;248;5100;2,5;96,8;354;2,5;3000;10;1;5200;8;1;0,015;0,00021;30;8e-04;0,00015;30;0,32;2e-05;3;0;0,00035;3;215;1;2;168,55;0,015;100;0,007;0,00015;3;2,1;0,025;0,00015;3;2,7;0,8;2;0,5
