ID,Active,Reference,Mammals Dermal LD50 mg/kg,Mammals dermal <>,Quality Barometer - Mammals Dermal,Mammals Inhalation LC50 mg/l,Mammals Inhalation <>,Quality Barometer - Mammals Inhalation,WHO Classification,CLP classification 2013,CLP classification precautionary statements,EC Risk Classification,EC Safety Classification,General human health issues,Genotoxic?,Carcinogen?,Endocrine distrupter?,Reproduction/development effects?,Acetyl cholinesterase inhibitor?,Neurotoxicant?,Respiratory tract irritant?,Skin irritant,Eye irritant,Handling issues,Acceptable Daily Intake (ADI) mg/kg bw,Quality Barometer - ADI,ARfD mg/kg BW/day,Quality Barometer - ARfD,Acceptable Operator Exposure Level (AOEL) Systemic,Quality Barometer - AOEL,Percutaneous Penetration study %,Quality Barometer - Percutaneous Penetration,Dangerous Substances Directive 76/464,Exposure Routes - Public,Exposure Routes - Occupational,Examples of European MRLs  mg/Kg,MRL Comments,Drinking Water MAC ug/l,MAC ref
"372","glufosinate-ammonium","HOE 039866","2000",">","A5 Rabbit","1.26",,"A5 Rat","II","[Health: H302, H312, H332, H360DF, H373]",,"[Reproduction risk category 2 and 3: R60, R63], [Xn - Harmful: R20/21/22, R48/20/22]","[S45, S53]","[Harmful if ingested, inhaled or absorbed through the skin], [Possible kidney, bladder, blood and lungs toxicant]","A3; B0; C3; D0; E0","No","No","Yes","No","Yes","No","Possible","Possible","[Not explosive or oxidising], [IMDG Transport Code is usually 6.1]","0.021","A5 Rat, SF=300","0.021","A5","0.0021","A5 Rat, SF=300","7.0-16.0","A5 concentration dependent",,"[Slight risk to bystanders in orchards]","[Risk of exposure acceptable under label recommendations for use for personal protection clothing and equipment]",,,,
"373","glyphosate","MON 0573","2000",">","A5 Rat","5.0",">","A5 Rat, 4 hr (nose only)","III","[Handling: GHS05], [Health: H318], [Environment: H411]",,"[Xn - Harmful: R41], [N - Dangerous for the environment: R51, R53]","[S2, S26, S39, S61]","[IARC group 2A carcinogen; USEPA - no evidence to support classification as human carcinogen], [Possible bladder and liver toxicant], [May cause serious eye damage], [Endocrine issues - Disruption of aromatase activity]","A3; B1; C3; D0; E3","Possible","Possible","No","No","No","No","Yes","Yes","[IMDG Transport Code is usually 9], [Not oxidising or explosive], [Corrosive]","0.5","A5 Rat, SF=100","0.5","A5 rat, SF=100","0.1","A3 Rabbit, SF=500","1.0","A5",,"[Risks to bystanders and residents considered low]","[PPE/PPC recommended to reduce risks]",,,,
"374","guazatine","EM 379","1064",">","A5 Rat","0.163","=","L3 Rat","II","[Health: H302, H312, H315, H318, H330, H335], [Environment: H400, H410]",,"[Xn - Harmful: R20/22, R41], [Xi - Irritant: R37/38]",,"[Moderately toxic], [Although no conclusive evidence regarding carcinogenity available some sutudies raise concerns]","A0; B0; C0; D0; E0","Possible","No data","Possible","No","No data","No data","Yes","Yes","[Not explosive or oxidising], [Ensure adequate ventilation when using], [IMDG Transport Code is usually 9]","0.0048","A5 Dog, SF=500","0.04","A5 Dog, SF=100","0.002","A5 Dog, SF=100","0.4-6.0","A5 concentration dependent",,"[Acceptable for proposed uses]","[Acceptable for proposed uses]",,,,
"375","halfenprox","MTI 732","2000",">","L3 Rat",,,,"NL","[Health: H301], [Environment: H400, H410]",,"[T - Toxic: R25], [N - Dangerous for the environment: R50/53]","[S45, S60, S61]","[Potent brain toxicant]","A0; B0; C0; D0; E0","No data","No data","No data","No","No data","No data","Yes","Yes","[No information available]",,,,,,,,,"List II",,,,,,
"376","halofenozide","RH 0345","2000",">","L3 Rat","2.7",,"L3 Rat","III","[Health: H317], [Environment: H411]",,"[Not classified: Obsolete]","[Not classified: Obsolete]","[May cause methemoglobinemia], [Possible blood, liver and CNS toxicant]","A0; B0; C0; D0; E3","No","No","No","No","Possible","Yes","Yes","Yes","[No information available]",,,,,,,,,,,,,,,
"378","heptachlor","ENT 15152","195",,"R3 Rat","2.0",,"R3 Rat","II","[Health: H301, H311, H351, H373], [Environment: H400, H410]",,"[Carcinogen category 3: R40], [T - Toxic: R24/25, R33], [N - Dangerous for the environment: R50, R53]","[S1/2, S36/37, S45, S60, S61]","[Bioaccumulates], [Liver toxicant], [Endocrine issues - Binding to cellular estrogen and androgen receptors]","A3; B0; C0; D0; E3","Yes","Possible","Yes","No","Yes","No data","No","Yes","[Incompatible with alkaline substances]","0.0001 ","JMPR",,,,,,,"List I; List II","[Risk of exposure via food is now considered negligible]","[May be absorbed through intact skin]",,,"0.03","UK EA QS database, 2018"
"381","hexachlorophene",,,,,,,,"NL","[Health: H301, H311], [Environment: H400, H410]",,"[T - Toxic: R24/25], [N - Dangerous for the environment: R50, R53]","[S1/2, S20, S37, S45, S60, S61]","[Highly toxic], [Teratogenic potential], [May cause dermatitis], [CNS toxicant], [IARC group 3 carcinogen]","A0; B0; C0; D0; E0","No","No data","Possible","No","Yes","No data","Yes","Yes","[Highly corrosive], [Prevent generation of dust]",,,,,,,,,,,"[May be absorbed through the skin]",,,,
"391","imazamethabenz-methyl","AC 222293","2000",">","L3 Rabbit","5.8",,"L3 Rat","U","[Not classified: Obsolete]",,"[Xi - Irritant: R36], [N - Dangerous for the environment: R50]",,"[May cause irreversible eye damage]","A3; B0; C0; D0; E0","No","No data","Possible","No","No","Yes","No","Yes","[Prevent generation of mists], [Corrosive]","0.0625","L3",,,,,,,,,,,,,
"392","imazamox","BAS 720H","4000",">","A5 Rat","6.3",">","A5 Rat, 4 hr (whole body)","NL","[Environment: H400, H410]",,"[N - Dangerous for the environment: R50, R53]","[S60, S61]","[No further information available]","A3; B0; C0; D0; E3","No","No","Yes","No","No","No data","Yes","Yes","[Prevent generation of mists], [Not explosive or oxidising], [IMDG Transport Code is usually 9]","9","A5 Rabbit, SF=100","None allocated","A5","14","A4 Dog, 90 day, SF=100","75","A3 default",,"[No unacceptable risks to bystanders identified]","[No unacceptable risks to operators or other workers indentified]",,,,
"393","imazapyr",,"2000",">","L3 Rat","5.1",,"L3 Rat","U","[Health: H319], [Environment: H412]",,"[Xi - Irritant: R36], [N - Dangerous for the environment: R52, R53]","[S2, S26, S61]","[Highly toxic]","A0; B0; C0; D0; E0","No","No data","No","No","No","Yes","Yes","Yes","[Prevent generation of mists]",,,,,,,,,,,,,,,
"394","imazaquin","BAS 725H","5000",">","A5 Rabbit","5.7",">","A5 Rat, 4 hr (whole body)","U","[Health: H302, H317, H319], [Environment: H401]",,"[Xn - Harmful: R22], [N - Dangerous for the environment: R53]",,"[Harmful if ingested]","A3; B3; C3; D0; E3","No","No data","Possible","No","No","No","No","No","[Not explosive or oxidising]","0.25","A5 Dog, SF=100","Not allocated","A5","0.25","A5 Dog, SF=100","100","A3 default",,"[Negligible risks to bystanders]","[No unacceptable risks identified for operators or other farm workers]",,,,
"395","imazethapyr","AC 252925","2000",">","L3 Rabbit","3.27",,"L3 Rat","U","[Environment: H400, H410]",,"[Xn - Harmful: R21/22], [Xi - Irritant: R36/38], [N - Dangerous for the environment: R52]",,"[No further information available]","A3; B3; C3; D0; E3","No","No data","No","No","No","Yes","Yes","Yes","[Prevent generation of dust], [Corrosive]","0.44","UK ACP 1999",,,,,,,,,,,,,
"396","imazosulfuron","TH 913","2000",">","A5 Rat","2.12",">","A5 Rat (nose only)","NL","[Environment: H400, H410]","[P273, P501]","[N - Dangerous for the environment: R52/53]","[None allocated at this time]","[Possible liver & thyroid toxicant]","A0; B0; C0; D0; E3","No","No","Possible","No","No","No","No","No","[Not explosive or oxidising]","0.75","A5","None allocated","A5","0.53","A5",,,"[Low risk when used as prescribed]","[Negligible risk when used as prescribed]",,,,,
"398","iminoctadine",,,,,,,,"II","[Health: H300, H312, H330], [Environment: H400]",,"[T+ - Very toxic: R26], [Xn - Harmful: R21/22, R41], [Xi - Irritant: R37/38], [N - Dangerous for the environment: R50, R53]","[S1/2, S26, S28, S36/37/39, S38, S45, S46, S60, S61, S63]","[Highly toxic]","A0; B0; C0; D0; E0","No data","No data","No data","No","No data","Yes","Yes","Yes","[No information available]",,,,,,,,,,,,,,,
"399","indoxacarb","DPX KN128","5000",">","A5 Rat","4.2",">","A5 Rat, 4 hr (nose only)","II","[Health: H301, H317, H332, H372], [Environment: H400, H410]",,"[Xn - Harmful: R22], [N - Dangerous for the environment: R51/53]","[S2, S13, S20/21, S35, S46, S57]","[Moderately toxic], [Possible kidney, liver, spleen and CNS toxicant]","A3; B0; C0; D0; E3","No","Possible","Possible","No","Yes","No","No","No","[Not explosive or oxidising], [IMDG Transport Code is usually 9]","0.005","A5 Rat, SF=100","0.005","A5 Rat, SF=100","0.003","A5 Rat, SF=100","1-18","A5 concentration dependent","List II","[Minimal risk from dietary exposure], [Risk assessment indicates ARfD would not normally be execeeded]",,,,,
"401","iodosulfuron-methyl-sodium","AE F115008","2000",">","A5 Rat","2.81",">","A5 Rat, 4 hr (nose only, aerosol)","NL","[Environment: H400, H410]",,"[N - Dangerous for the environment: R50, R53]","[S60, S61]","[No further information available]","A3; B0; C0; D0; E3","No","No","No","No","Yes","Yes","No","No","[Not explosive or oxidising], [IMDG Transport Code is usually 9]","0.03","A5 Rat, SF=100","None allocated","A5","0.05","A4 Dog, 90 day, SF=100","10","A5",,"[No unacceptable risks to bystanders or residents identified]","[No unacceptable risks to operators or other workers identified]",,,,
"1217","flumorph","SYP L190","2150",">","L3 Rat",,,,"III",,,"[Reproduction risk category 2: R61], [Xn - Harmful: R20/22], [Xi - Irritant: R38], [N - Dangerous for the environment: R50, R53]",,"[No further information available]","A0; B0; C0; D0; E0","No data","No data","Yes","No data","No data","No data","Yes","No data","[No information available]",,,,,,,,,"List II",,,,,,
"1218","methasulfocarb","NK 191","5000",">","L3 Rat","0.44",">","L3 Rat","II",,,,,"[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","No","No data","No data","No data","No data","[IMDG Transport Code is 6.1]",,,,,,,,,,,,,,,
"1219","cufraneb",,,,,,,,"NL","[Not classified: Obsolete]",,"[Not classified: Obsolete]",,"[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","Possible","Yes","Yes","Yes","Yes","[No information available]",,,,,,,,,"List II",,,,,,
"1225","chlorbenside","ENT 20696",,,,,,,"O",,,"[Not classified: Obsolete]","[Not classified: Obsolete]","[Hazardous to the digestive tract], [Liver and kidney toxicant]","A3; B0; C0; D0; E0","No","No data","No data","No","No","No data","Possible","Possible","[Incompatible with oxidising agents]","0.01","JMPR 1965",,,,,,,"List I; List II",,"[May be absorbed through the gut and skin]",,,,
"1226","dimethylvinphos","SD 8280","1360",">","L3 Rat","4.9",,"L3 Rat","Ib",,,"[Not classified: Obsolete]","[Not classified: Obsolete]","[No further information available]","A0; B0; C0; D0; E0","No data","Possible","No data","Yes","Yes","No data","No data","No data","[IMDG Transport Code is 6.1]",,,,,,,,,"List I; List II",,,,,,
"1227","ethiprole","RPA 107382","2000",">","P3 Rat","5.2",,"P3 Rat","NL",,,"[Xn - Harmful: R22, R48], [N - Dangerous for the environment: R50/53]",,"[USEPA - some evidence to suggest possible human carcinogen]","A3; B0; C0; D0; E0","Possible","No","No","No","No","No","No","No","[No information available]","0.005","P3 Rabbit, SF=100",,,,,,,"List II",,,,,,
"687","fluacrypyrim",,,,,"5.09",,"L3 Rat, 4 hr","NL",,,"[Not classified: Obsolete]","[Not classified: Obsolete]","[No further information available]","A3; B0; C0; D0; E0","No data","No data","No data","No data","No data","No data","No","Possible","[No information available]","0.059","L3 Japan",,,,,,,"List II",,,,,,
"987","isocarbophos","BAY 93820",,,,,,,"NL","[Health: H300, H311]","[P264, P280, P302, P310]","[T - Toxic: R25], [Xn - Harmful: R21]","[S36/37, S45]","[Chronic exposure may cause seizures, incontinence, respiratory depression and loss of consciousness]","A0; B0; C0; D0; E0","No data","No data","No data","Yes","Yes","No data","No data","No data","[IMDG Transport Code is 6.1]",,,,,,,,,"List I; List II",,,,,,
"1229","chlordimeform","ENT 27335","263",">","V3 Rat","17.4",">","R3 Mammal","O",,,"[Carcinogen category 3: R40], [Xn - Harmful: R21, R22], [N - Dangerous for the environment: R50, R53]","[S2, S22, S36/36, S60, S61]","[Observed links with bladder cancer and urinary bladder irritation], [May act as blood toxicant], [IARC Group 3 carcinogen; USEPA - probable human carcinogen]","A0; B0; C0; D0; E0","Yes","No","No data","No","Yes","Yes","Possible","Possible","[Prevent generation of dust], [May emit toxic fumes in a fire]",,,,,,,,,"List II",,"[May be absorbed through the skin]",,,,
"1231","alpha-chlorohydrin","U 5897","2000",">=","F3 Rat","4.0",,"R3 Rat, 4 hr","Ib",,,"[Reproduction risk category 2: R60], [T - Toxic: R23/25], [Xn - Harmful: R21, R41]","[S26, S45, S53, S36, S39]","[Moderately toxic], [May cause pulmonary hemorrhaging & congestion], [Kidney and liver toxicant]","A0; B0; C0; D0; E0","No data","No data","Yes","No","Yes","No","No","Yes","[Corrosive]",,,,,,,,,"List II",,,,,,
"1232","imiprothrin","S 41311","2000",">=","P3 Rat","1.2",">=","P3 Rat","U",,,"[Xn - Harmful: R22], [N - dangerous for the environment: R50/53]","[S2, S60, S61]","[No further information available]","A0; B0; C0; D0; E0","No","No data","Possible","No","No","Yes","Possible","Possible","[Not explosive]",,,,,,,,,,"[Negligible risk to bystanders considering authorised uses]",,,,,
"1233","iodomethane","TM 425","2000",">","F3 Rat","4.0",,"F3 Rat","NL",,,"[Carcinogen category 3: R40], [T - Toxic: R23, R25], [Xn - Harmful: R21], [Xi - Irritant: R37, R38]","[S36, S37, S38, S45]","[Toxic], [May damage corneal], [Exposure may cause skin rash, running nose, headache and irritation of the mucous membrane], [USEPA - possible human carcinogen at high doses]","A0; B0; C0; D0; E0","Possible","No data","Possible","No data","Yes","Yes","Yes","Yes","[Corrosive], [Methyl iodide gases may be generated]",,,,,,,,,,,"[May be absorbed by the skin]",,,,
"1234","lithium perfluorooctane sulfonate",,"2000",">","F4 Rat","0.16","=","F4 Rat","NL",,,"[Carcinogen category 3: R40], [Reproduction risk category 2: R61], [T - Toxic: R48/25], [Xn - Harmful: R20/22], [N - Dangerous for the environment: R51/53]","[S45, S53, S61]","[Highly toxic], [Liver toxicant], [Suppresses hematopoiesis]","A3; B0; C0; D0; E2","Yes","No data","Yes","No","No","No data","Yes","Yes","[No information available]","Not allocated","F3","Not allocated","F3","Not allocated","F3",,,"List II",,,,,,
"258","dithianon","BAS 216F","2000",">","A5 Rat","0.31","=","A5 Rat","II","[Health: H302], [Environment: H400, H410]",,"[Carcinogen category 3: R40], [T - Toxic: R23], [Xn - Harmful: R22, R41, R43], [Xi - Irritant: R66], [N - Dangerous for the environment: R50, R53]","[S2, S13, S36/37/39, S45]","[Toxic], [Possible liver and kidney toxicant], [May cause nausea, vomiting and diarrhea if ingested], [USEPA - possible human carcinogen]","A2; B2; C3; D0; E0","Possible","No data","Possible","No","No","No data","No","Yes","[Not explosive or oxidising], [IMDG Transport Code is usually 6.1 or 9]","0.01","A5 Rat, SF=100","0.12","A5 Rat, SF=100","0.0135","A5 Dog, SF=100","0.26-3.1","A5 concentration dependent",,"[No unacceptable risks to bystanders identified]","[Possible risk to operators identified even with PPE], [Minimal risk to other workers with PPE]",,,"0.1","EU Dir 89/778/EC limit; A5"
"259","dithiopyr","RH 101664","5000",">","F4 Rat","5.98",">","F4 Rat, 4 hr (nose only)","U","[Environment: H400, H410]",,"[Xi - Irritant: R36/38], [N - Dangerous for the environment: R50/53]",,"[Do not inhale], [Possible blood, kidney and liver toxicant]","A0; B0; C0; D0; E3","No","No data","No","No","No","Yes","Yes","Yes","[No information available]",,,,,"a=0.25, b=0.75","E3 mg/m3, a=TWA, b=STEL",,,"List II",,"[PPE/PPC required to mitigate risks of exposure]",,,,
"260","diuron","DPX 14740","5000",">","A5 Rat","0.26 / 7.1",">","A5 Rat (aerosol / dust)","III","[Health: H302, H351, H373], [Environment: H400, H410]",,"[Carcinogen category 3: R40], [Xn - Harmful: R22, R48/22], [N - Dangerous for the environment: R50, R53]","[S2, S13, S22, S23, S36, S46, S60, S61]","[Possible blood, kidney, bladdrr, spleen and liver toxicant], [Endocrine issues - Inhibition of androgens action]","A2; B3; C3; D0; E3","Yes","Possible","Possible","No","No","Yes","No","No","[Not explosive or oxidising], [IMDG Transport Code is usually 9]","0.003","A5 Rat, SF=200","0.016","A5 Rat, SF=100","0.007","A5 Rat, SF=100","0.5-7.0","A5 concentration dependent",,"[Risks to bystanders and residents estimated to be low considering current use profile]","[Risks of exposure identified via modelling - PPE/PPC essential]",,,,
"261","DNOC","ENT 154","187",,"L3 Mouse",,,,"Ib","[Health: H300, H310, H315, H317, H318, H330, H341], [Environment: H400, H410]",,"[Mutagenic category 3: R68], [T+ - Very toxic: R26/27/28], [Xn - Harmful: R43, R41], [Xi - Irritant: R38], [H - Handling risks: R44], [N - Dangerous for the environment: R50, R53]","[S1/2, S36/37, S45, S60, S61]","[Mutagenic potential], [Very toxic by inhalation, skin contact and ingestion], [Easily absorbed through the skin]","A0; B0; C0; D0; E1","No","No data","No","No","Yes","No data","Yes","Yes","[Combustable], [Explosive when dry], [IMDG Transport Code is usually 6.1]",,,,,,,,,,"[Main risk of exposure is thought to be from residues on treated crops]","[Operator exposure is a concern even with PPE/PPC]",,,,
"262","dodemorph",,"1640",">","A5 Rat",,,,"III","[Health: H314, H317, H373, H361d], [Environment: H400, H410]",,"[Xi - Irritant: R36/37/38], [N - Dangerous for the environment: R51, R53]","[S2, S26, S61]","[Some potential as a skin sensitiser]","A0; B0; C0; D0; E0","No","No data","Yes","No","No","No data","Yes","Yes","[Corrosive]","0.082","A5 Dog, SF=100","0.33","A5 Rabbit, SF=100","0.033","A5 Dog, SF=100","2.7-20.0","A5 concentration dependent",,"[Negligible risk to bystanders]","[Risk to operators and other farm works acceptable when PPE/PPC is used]",,,"0.1","EU Dir 89/778/EC limit; A5 Calc MAC=2.5 µg/l"
"263","dodine","BAS 365F","5000",">","A5 Rat","0.45",">","A5 Rat (nose only, aerosol)","II","[Health: H302, H315, H319], [Environment: H400, H410]",,"[Xn - Harmful: R22], [Xi - Irritant: R36/38], [N - Dangerous for the environment: R50, R53]","[S2, S26, S60, S61]","[Highly toxic], [Serious damage to eyes]","A3; B0; C3; D0; E3","No","No data","Possible","No","No","No data","Yes","Yes","[Not explosive or oxidising], [IMDG Transport Code is usually 9]","0.1","A4 Dog, SF=100","0.1","A4 Dog, SF=100","0.045","A4 Rat, SF=100","1.0","A5",,"[No unacceptable risks to bystanders identified]","[Possible risk to operators identified even with PPE], [Harmful by inhalation]",,,"0.1","EU Dir 89/778/EC limit; A5 Calc MAC=0.35 µg/l"
"264","endosulfan","OMS 570","500",">","R3 Rat","0.013",,"L3 Rat","II","[Health: H300, H312, H330], [Environment: H400, H410]",,"[T+ - Very toxic: R26/28], [Xn - Harmful: R21], [N - Dangerous for the environment: R50, R53]","[S1/2, S28, S36/37, S45, S60, S61, S63]","[Mutagenic potential], [Highly toxic], [Research shows that endosulfan interferes with the spermatogenic & steroidogenic cycles in rats], [Endocrine issues - Competitive binding to androgen receptors]","A3; B0; C0; D0; E1","No","Possible","Yes","No","Yes","No data","No data","No data","[Corrosive], [IMDG Transport Code is usually 6.1]","0.006","JMPR 1998","0.02","JMPR 1998",,,,,"List II",,,,,,
"265","endothal",,"2000",">","L3 Rabbit","0.68",,"L3 Rat","II","[Health: H301, H312, H315, H319, H335]",,"[T - Toxic: R25], [Xn - Harmful: R21], [Xi - Irritant: R36/37/38]","[S1/2, S36/37/39, S45]","[Toxic], [Corrosive effects on gastrointestinal tract]","A0; B0; C0; D0; E3","No","No data","Possible","No","Possible","Yes","Yes","Yes","[No information available]",,,,,,,,,,,,,,,
"266","endrin",,"5.0",,"R3 Rat",,,,"O","[Health: H300, H311], [Environment: H400, H410]",,"[T+ - Very toxic: R28], [T - Toxic: R24], [N - Dangerous for the environment: R50, R53]","[S1/2, S22, S36/37, S45, S60, S61]","[Highly toxic], [Endocrine issues - Competitive binding to androgen receptors]","A0; B0; C0; D0; E0","Possible","Possible","Possible","No","Yes","No","No","No","[No information available]","0.0002","A5",,,,,,,"List I; List II",,,,,,
"267","epoxiconazole","BAS 480F","2000",">","A5 Rat","5.3",">","A5 Rat, 4 hr (nose only)","NL","[Health: H351, H360Df], [Environment: H411]",,"[Carcinogen category 3: R40], [Reproduction risk category 3: R62, R63], [N - Dangerous for the environment: R51, R53]","[S2, S36/37, S46, S61]","[Possible liver toxicant], [USEPA - probable human carcinogen], [Endocrine issues - Inhibition of aromatase activity, decrease of estrogen production]","A3; B0; C0; D0; E0","Yes","Possible","Yes","No","No","No","No","No","[Not explosive or oxidising], [IMDG Transport Code is usually 9]","0.008","A5 Mouse, SF=100","0.023","A5 Rat, SF=100","0.008","A5 Rat, SF=100","2-36","A5 concentration dependent","List II","[Acceptable risk for proposed uses]","[Acceptable risk for proposed uses]",,,,
"268","EPTC","R 1608","2000",">","L3 Rat","3.8",,"L3 Rat","II","[Health: H302]",,"[Xn - Harmful: R22]","[S2, S23]","[No further information available]","A0; B0; C0; D0; E3","No","No data","Possible","Yes","Yes","No data","Yes","Yes","[No information available]",,,,,,,,,,,,,,,
"269","esfenvalerate","OMS 3023","5000",">","A5 Rat","0.48",">","A5 Rat","II","[Health: H301, H317, H331], Environment: H400, H410]",,"[T - Toxic: R23/25], [Xn - Harmful: R43], [H - handling risks: R10], [N - Dangerous for the environment: R50, R53]","[S1/2, S24, S36/37/39, S45, S60, S61]","[Highly toxic], [Some studies point to endocrine effects], [May cause nausea, vomiting and abdominal pain if ingested]","A3; B3; C3; D0; E3","No","Possible","Yes","No","Possible","No data","Possible","No","[IMDG Transport Code is usually 9], [Not explosive or oxidising], [Flammable]","0.0175","A5 Rat, SF=100","0.0175","A5 Rat, SF=100","0.011","A5 Rat, SF=100","3-13%","A5 concentration dependent",,"[Minimal risk from dietary exposure], [Risk assessment indicates ARfD would not normally be execeeded]","[PPE/PPC required]",,,,
"270","ethaboxam","LGC 30473","5000",">","E4 Rat","4.89",,"L3 Rat","NL/O","[Environment: H400, H410]",,"[Not classified: Obsolete]","[Not classified: Obsolete]","[May damage male reproduction system], [USEPA - some evidence to suggest possible human carcinogen]","A0; B0; C0; D0; E0","Possible","No data","Possible","No","No","No data","No data","No data","[Not explosive or oxidising]",,,,,,,,,,,,,,,
"271","ethalfluralin","EL 161","2000",">","A4 Rabbit","2.8",">","L3 Rat","U","[Health: H315, H317, H319, H351], [Environmernt: H400, H410]",,"[Carcinogen category 3: R40], [Xn - Harmful: R43], [Xi - Irritant: R36/38]",,"[May cause dyspnea, anorexia, nausea and vomiting], [USEPA - possible human carcinogen]","A0; B0; C0; D0; E0","Possible","No data","No data","No","No","Possible","Possible","Possible","[Prevent generation of mists], [Not explosive or oxidising]","0.042","A2 Rat, SF=100","None allocated","A5","0.2","A2 Dog, SF=100",,,"List II","[No unacceptable risks to bystanders identified]","[No unacceptable risks to operators or other workers identified]",,,,
"272","ethanedial",,"2000",">","Q3 Rat","2.44",,"Q3 Rat, 4 hr","NL","[Health: H315, H317, H319, H332, H341]",,"[Carcinogen category 3: R40], [Xn - Harmful: R20, R43], [Xi - Irritant: R36/38]","[S2, S36/37]","[Harmful by inhalation], [Mutagenic potential]","A0; B0; C0; D0; E0","Possible","No","No","No","No data","No","Yes","Yes","[May ignite or explode under certain conditions]",,,,,,,,,,"[Main route via ingestion of contaminated food or water]",,,,,
"274","ethephon",,"983","=","A5 Rat","3.26","=","A5 Rat 4 hr (whole body)","III","[Health: H302, H311, H314, H332], [Environment: H411]",,"[Xn - Harmful: R20/21], [H - Handling risks: R34], [N - Dangerous for the environment: R52, R53]","[S1/2, S26, S28, S36/37/39, S45, S61]","[May cause cardiac abnormalities]","A3; B3; C3; D0; E3","No","No data","Possible","Yes","Yes","Yes","Yes","Yes","[Corrosive], [Not explosive or oxidising], [Hygroscopic], [IMDG Transport Code is usually 6.1]","0.02","A5 Dog, SF=100","0.05","A5 Human, SF=10","0.02","A5 Dog SF=100","1.0-5.0","A5 concentration dependent",,"[No unacceptable risks to bystanders identified]","[Risk acceptable with PPE/PPC]",,,,
"275","ethiofencarb","BAY 108594","1000",">","L3 Rat","0.2",,"L3 Rat","Ib","[Health: H302], [Environment: H400, H410]",,"[Xn - Harmful: R22], [N - Dangerous for the environment: R50, R53]","[S2, S60, S61]","[Highly toxic]","A3; B0; C0; D0; E0","No data","No data","No data","Yes","No data","No data","No data","No data","[No information available]","0.1","JMPR 1982","0.15","UK ACP 1999",,,,,,,,,,,
"278","ethofumesate","AE B049913","2000",">","A5 Rat","0.16",">","A5 Rat, 4 hr (whole body)","U","[Environment: H411]",,"[N - Dangerous for the environment: R51, R53]","[S61]","[Harmful in contact with skin and if swallowed], [Possible liver toxicant]","A3; B3; C3; D0; E3","No","No data","Possible","No","No","Possible","No","No","[Prevent generation of mists], [IMDG Transport Code is usually 9], [Not explosive or oxidising]","0.07","A5","None allocated","A5","2.5","A4 Dog, 90 day, SF=100","0.4-8","A5 concentration dependent",,"[Minimal risk of dietary exposure], [Minimal risk to bystanders and residents]","[Minimal risk for operators and farm workers]",,,,
"279","ethoprophos",,"7.9","=","A5 Rabbit","0.123","=","A5 Rat, 4 hr  (nose only)","Ia","[Health: H301, H310, H317, H330], [Environment: H400, H410]",,"[T+ - Very toxic: R26/27], [T - Toxic: R25], [Xn - Harmful: R43], [N - Dangerous for the environment: R50, R53]","[S1/2, S27/28, S36/37/39, S45, S60, S61]","[Very toxic by inhalation and dermal absorption], [USEPA - probable human carcinogen]","A2; B2; C3; D0; E3","Possible","No","No data","Yes","Possible","No data","Possible","Possible","[Not explosive], [IMDG Transport Code is usually 6.1]","0.0004","A5 Rat, SF=100","0.01","A5 Rat, SF=100","0.001","A5 Dog, SF=100","10","A5","List I; List II","[No unacceptable risks to bystanders identified]","[Exposure possible but acceptable under label recommendations for use concerning personal protection clothing and equipment], [Dermal exposure likely to be low]",,,,
"281","ethoxysulfuron","AE F095404","4000",">","A5 Rat","3.55",,"A5 Rat","NL","[Environment: H400, H410]",,"[N - Dangerous for the environment: R50, R53]","[S60, S61]","[No further information available]","A0; B0; C0; D0; E0","No","No data","Possible","No","No","No data","Yes","Yes","[Not explosive]","0.04","A5","None allocated","A5","0.06","A4 Rat","10","A5",,,,,,,
"283","etofenprox","MTI 500","2000",">","A5 Rat","5.88",">","A5 Rat","U","[Health: H362], [Environment: H400, H410]",,"[N - Dangerous for the environment: R50, R53]","[S2, S13, S27/28, S36/37/39]","[Thyroid toxicant]","A3; B3; C3; D0; E0","No","No data","Yes","No","No","No data","No data","No data","[Not explosive]","0.03","A5 Mouse, SF=100","1.0","A5","0.06","A5",,,,"[No unacceptable risk to bystanders identified]","[No unacceptable risks to operators or other workers identified]",,,"90","A5"
"284","etoxazole","S 1283","2000",">","A5 Rat","1.09",">","A5 Rat (whole body)","NL","[Environment: H400, H410]",,"[N - Dangerous for the environment: R50, R53]","[S60, S61]","[Possible liver toxicant]","A3; B0; C0; D0; E3","No","No","Possible","No","No","No","No","No","[Not explosive or oxidising]","0.04","A5 Rat, SF=100","None allocated","A5","0.03","A5 Dog, SF=100","10","A3 default","List II","[Risk low for consumers, bystanders and residents]","[Operator use of appropriate PPE/PPC is advised]",,,,
