ID,Active,Reference,Alias1,Alias2,Alias3,Alias4,Alias5,Alias6,Alias7,Alias8
"2548","Purpureocillium lilacinum strain pl 11",,,,,,,,,
"3178","Bacillus amyloliquefaciens IT-45",,,,,,,,,
"3179","Beauveria bassiana strain 203",,,,,,,,,
"3185","Pepino mosaic virus EU strain mild isolate Abp1",,,,,,,,,
"3186","Pepino mosaic virus CH2 strain mild isolate Abp2",,,,,,,,,
"125","L-carvone","L 91105D","p-mentha-6,8-dien-2-one","R-carvone","spearment oil component","(-)-carvone",,,,
"903","milbemycin A3",,"antibiotic B-41A4",,,,,,,
"904","milbemycin A4",,,,,,,,,
"1327","pelargonic acid",,"nonanoic acid ","capsaicin II","fatty acids C7 to C20",,,,,
"1671","gibberellins",,"giberelline","gibberellins - GA4/GA7","gibberellic acid 4 plus 7","GA4+7",,,,
"2143","borax",,"sodium borate","sodium tetraborate","disodium tetraborate","borax decahydrate ",,,,
"2504","methyleugenol","Ent 21040","methyl eugenol","Eugenol methyl ether","a-allylveratrole","4-allylveratrole ","NSC 209528","O-methyleugenol",,
"3122","D-carvone",,"p-mentha-6,8-dien-2-one","S-carvone","spearment oil component","(+)-carvone",,,,
"3123","carvone",,"p-mentha-6,8-dien-2-one","carvone","spearment oil component","carvone",,,,
"418","D-limonene",,"dipentene","d-limonene","alpha-limonene","dipenol","orange oil",,,
"1447","spinosyn B",,,,,,,,,
"288","fatty acids",,"isobuturic acid","nonaoic","oleic acid","soap","pelargonic acid","caprylic acid","lauric acid","capric acid"
"1323","kasugamycin hydrochloride hydrate",,"kasugamycin HCl","kasumin",,,,,,
"1379","1-dodecanol",,"dodecyl alcohol","lauryl alcohol","duodecyl alcohol","alcohol C12","Codling moth pheromone component",,,
"1625","sucrose octanoate",,"sucrose octanoate esters","SOE","sucrose monooctonate",,,,,
"2124","myristyl alcohol",,"n-tetradecyl alcohol","tetradecyl alcohol","1-hydroxytetradecane ","Straight Chain Lepidopteran Pheromone","SCLP","Codling moth pheromone","Hickory shuchworm pheromone","Oblique-banded leafroller pheromone"
"2195","kasugamycin",,"kasugamycinic acid","crop antibiotic",,,,,,
"3147","pine oil",,,,,,,,,
"3127","lavandulyl senecioate",,,,,,,,,
"3128","isobutyric acid",,"short chain fatty acid","isobutyrate",,,,,,
"8","abamectin","MK 936","avermectin","abermectine","L676","A121151","AVM","C-076","MK-936",
"503","oxytetracycline",,"terramycin","oxytracyl","oxytetrin","terramitsin","oxitetracycline","crop antibiotic",,
"568","pyrethrins (pyrethrin I)",,"pyrethum",,,,,,,
"587","rotenone","ENT 133","derris root","derris","haiari","barbasco","aker-root",,,
"1326","emamectin benzoate","MK 244","methylamino abamectin benzoate","UNII-HVM3G4A01W","Sch 58854",,,,,
"1547","streptomycin",,"streptomycine","streptamine","streptomycin A ","Crop antibiotic",,,,
"1734","chlortetracycline",,"aureomycin ","biomycin ",,,,,,
"1858","gentamicin",,"gentacycol","gentamycinum","gentamycin","crop antibiotic",,,,
"1889","thymol",,"isopropyl-m-cresol","2-isopropyl-5-methylphenol","thyme camphor","thymic acid","hydroxy cymene",,,
"2374","Geraniol","Mevalone 3AEY","(E)-geraniol","(E)-nerol","AI3-00206","Lemonol",,,,
"2511","orange oil",,"D-limonene",,,,,,,
"2529","Emamectin B1a",,,,,,,,,
"2530","Emamectin B1b",,,,,,,,,
"2531","pyrethrins (cinerin I)",,"pyrethum","cinerin",,,,,,
"2532","pyrethrins (jasmolin I)",,"pyrethum","jasmolin",,,,,,
"2533","pyrethrins (pyrethrin II)","ENT 7543 ","pyrethum",,,,,,,
"2534","pyrethrins (cinerin II)",,"pyrethum","cinerin",,,,,,
"2535","pyrethrins (jasmolin II)",,"pyrethum","jasmolin",,,,,,
"2586","valinomycin",,"Antibiotic N-329 B",,,,,,,
"3035","pyrethrins (mix)",,"pyrethum",,,,,,,
"3144","oxytetracycline hydrochloride",,"terramycin","oxytracyl","oxytetrin","terramitsin","oxitetracycline","crop antibiotic",,
"3149","nemadectin",,"S541A","LL-F28249 aplha",,,,,,
"2487","kieselgur",,"diatomaceous earth","amorphous silicon dioxide","silica","diatomite","kieselguhr","siliceous earth","amorphous silica","DE"
"170","cloquintocet-mexyl","CGA 185072","cloquintocet mexyl",,,,,,,
"209","di-1-p-menthene",,"di1pmenthene","pinolene","silicol","menthene",,,,
"36","ammonium sulphate",,"ammonium sulfate","dolamin","sulfuric acid diammonium salt",,,,,
"67","benoxacor","CGA 154281","C10964",,,,,,,
"295","fenchlorazole","HOE 072829","fenchlorazol","fenchlorazole acid",,,,,,
"296","fenclorim","CGA 123407","fenclorime",,,,,,,
"343","flurazole","MON 4606","flurazol",,,,,,,
"433","mefenpyr","HOE 107892",,,,,,,,
"491","olein",,"palm oil","glycerol trielaidate","trielaidoylglycerol","triolein",,,,
"1189","dichlormid",,"diallyldichloroacetamide","BRN 1768843",,,,,,
"1236","pyrasulfotole ","AE 0317309 ",,,,,,,,
"1303","methyl isobutyl ketone",,"hexone","MiBK","isopropyl acetone",,,,,
"1305","naphtha",,"petroleum naphtha","coal tar naphtha","benzine","refined solvent naphtha",,,,
"1307","talc",,"magnesium talc ","soapstone","steatite","kerolite","snowgoose","talc E553B",,
"1308","cyclohexanone",,"anone","cyclohexyl ketone","pimelic ketone","ketohexamethylene",,,,
"1309","butan-1-ol",,"butyl alcohol","1-butanol","n-butanol","n-butyl alcohol","butyl hydroxide",,,
"1310","ethylene glycol",,"monoethylene glycol","ethylene alcohol ","1,2-dihydroxyethane","1,2-ethanediol",,,,
"1311","titanium dioxide",,"titania","rutile","titanium white",,,,,
"1313","N,N-dimethyl capramide",,,,,,,,,
"1314","sodium lignosulfonate",,"sodium lignosulphonate","sodium polignate ",,,,,,
"1315","hexylene glycol",,"diolane","pinakon",,,,,,
"1316","alcohol ethoxylate ",,"AEO","polyethylene glycol","C9-11 Pareth-3",,,,,
"1317","glycerin",,"glycerine","glycerol","D-glycerol",,,,,
"1318","gypsum",,"calcium sulphate","gypsite","alabaster","phosphogypsum",,,,
"1319","isopropyl myristate",,"isomyst",,,,,,,
"1320","sorbitol",,"hexahydric alcohol","clucitol","D-sorbite","cholaxine",,,,
"1322","glyceryl distearate",,,,,,,,,
"1337","ethylenediamine tetraacetic acid",,"EDTA","edetic acid ",,,,,,
"1338","triisopropanolamine",,"TIPA","1.1'.1'-nitrilotripropan-2-ol",,,,,,
"1339","ethoxylated tallow amine",,"tallow amine ethoxylate","PEG-10 hydrogenated tallow amine",,,,,,
"1344","bentonite",,"gumbrin","aquagel","mineral colloid 103","soap clay","montmorillonite",,,
"1345","butyl stearate",,"N-butyl stearate",,,,,,,
"1346","methyl ether cellulose",,"methyl cellulose","cellulose methylate",,,,,,
"1347","fumaric acid",,"2-butenedioic acid","allomaleate ","lichenate","allomaleic acid","boletic acid",,,
"1349","1,1,1-acetonitrile","USAF EK-488","acetonitrile","methyl cyanide","methanecarbonitrile","ethanenitrile",,,,
"1351","isophorone",,"isoforone","isoacetophorone","isoforona ","izoforone","izoforon",,,
"1352","malic acid","P494","malicacid","DL-malic acid",,,,,,
"1353","polyacrylamide",,"PAM","acrylamide homopolymer ",,,,,,
"1356","solvent naphtha",,"aromatic naphtha, type I","solvent naphtha (petroleum), light aromatic ","mineral turpentine",,,,,
"1357","fatty alcohol ethoxylate",,"FAEO","alcohols, C16-18, ethoxylated propoxylated","AEO",,,,,
"1358","xylene",,"xylol","methyl toluene","Xilenos",,,,,
"1360","toluene 2,4-diisocyanate",,"TDI","tolylene diisocyanate",,,,,,
"1364","2-butoxyethanol","A13-0993","butyl glycol","ethylene glycol mono-n-butyl ether","GAFCOL EB","3-oxa-1-heptanol","butyl cellosolve",,,
"1435","ethyl butyl nitrosamine",,"nitrosoethylbutylamine ","NEBA","butanamine","EBN",,,,
"1481","1-octyl-2-pyrrolidone",,"BRN 1526318","caprylyl pyrrolidone",,,,,,
"1502","ethoxylated p-nonylphenol","A 730","ethoxylated nonylphenol","nonoxynol","NPE",,,,,
"1503","hydroquinone",,"quinol","alpha hydroquinone","hydroquinol","dihydroquinone","1,4-dihydroxybenzene ",,,
"1511","1,1,1-trichloroethane",,"methyl chloroform","chlorothane","methyltrichloromethane",,,,,
"1543","p-nonylphenol",,"monononylphenol ","4-nonylphenol","4NP","NP",,,,
"1036","AD-67","MON-4660",,,,,,,,
"1576","isoxadifen ethyl","AE F122006",,,,,,,,
"1633","1,1,1,2-tetrachloroethane","HSDB 4148","R-130a","RCRA Waste Number U208","TeCA",,,,,
"1634","1,1-dichloroethane",,"1,1-DCE","asym-dichloro-ethylene","vinylidene chloride","ethylene dichloride","ethylidene dichloride",,,
"1635","1,2,3-trichloropropane","NSC 35403","1,2,3-TCP","allyl trichloride","glycerol trichlorohydrin","AI3-15406 ",,,,
"1636","1,3-butadiene",,"biethylene","erythrene","divinyl","vinylethylene",,,,
"1637","1,3-dinitrobenzene",,"1,3-dinitrobenzol","meta-dinitrobenzene","m-DNB",,,,,
"1638","1,4-dioxane",,"dioxane","diethylene dioxide","1,4-diethylene dioxide","diethylene ether","glycol ethylene ether",,,
"1639","2-methoxyethanol",,"ethylene glycol monomethyl ","EGME","methyl cellosolve","glycolmethyl ether ",,,,
"1640","4,4-methylenedianiline",,"DADPM","MDA","methylenedianiline","diaminodiphenylmethane",,,,
"1641","acetamide",,"acetic acid amide","ethanamide","methanecarboxamide",,,,,
"1643","N-methyl-2-pyrrolidone",,"NMP","m-pyrol",,,,,,
"1644","benzyl chloride",,"omega-chlorotoluene","chlorophenylmethane","tolyl chloride","chloromethylbenzene","alpha-chlorotoluene",,,
"1733","epichlorohydrin",,"1-epichlorohydrin","glycerol epichlorohydrin","chloromethyleneoxirane","oxirane","ECH",,,
"2579","sesamex","ENT 20871","sesoxane",,,,,,,
"2748","cyometrinil","CGA 43089",,,,,,,,
"2759","dicyclonon","BAS 145138","diclonon",,,,,,,
"2769","N1,N2-diallyl-N2-dichloroacetylglycinamide","DKA-24",,,,,,,,
"3129","isovaleric acid",,"delphinic acid","isopentanoic acid","short chain fatty acid",,,,,
"3130","valeric acid",,"short chain fatty acid","valerianic acid",,,,,,
"3143","mefenpyr diethyl","HOE 107892","mefenpyr-diethyl","AE F107892","AEF 107892",,,,,
"2379","maltodextrin",,"Grape sugar","Corn sugar",,,,,,
"126","cetrimide",,"trimethylcetylammonium bromide","tetradonium bromide",,,,,,
"529","piperonyl butoxide","ENT 14250","PBO","butacide","butoxide",,,,,
"1304","propylene glycol",,"methylethyl glycol","E1520",,,,,,
"210","diafenthiuron","CGA 106630","CG 167","CGA 106630 ",,,,,,
"211","di-allate","CP 15","diallate",,,,,,,
"213","dicamba","SAN 837H","dianat","disugran","dicamba acid",,,,,
"215","dichlofenthion","ENT 17470","diclophenthion","Tri-VC13 ",,,,,,
"216","dichlofluanid","BAY 47531","dichlofluanide","KUE 13032c",,,,,,
"218","dichlorprop","RD 406","2,4-DP",,,,,,,
"221","diclofop-methyl","HOE 023408","dichlofop variant","AE F023408",,,,,,
"222","dicloran","RD 6584","ditranil","dichloran","CAN","U 2069","SN 107682","DCNA",,
"223","dicofol","ENT 23648","kelthane","FW-293","decofol","DTMC",,,,
"224","dicrotophos","OMS 253","ENT 24482","SD 3546","carbomicron ","dicrotofos","C709",,,
"225","dicyclopentadiene",,"cyclopentadiene dimer","DCPD",,,,,,
"227","dienochlor","SAN 804","decachlor","dienochlore","HRS 1654","HRS 16A",,,,
"228","diethofencarb","S 1605","isopropyl-3,4-diethoxycarbanilate ",,,,,,,
"229","difenacoum",,"difenacume","coumarin",,,,,,
"230","difenoconazole","CGA 169374",,,,,,,,
"231","difenoxuron","C3470",,,,,,,,
"5","2,4-DB","ENT 8538","hedonal","trinoxol",,,,,,
"6","2-aminobutane",,"sec-butylamine","butafume","butanamine","S-butylamine","2-AB",,,
"7","(4-chlorophenoxy)acetic acid",,"(4-chlorophenoxy)acetic acid ","PCPA","4-CPA","4-ChFu","4-CPA",,,
"9","acephate",,"orthene",,,,,,,
"10","acequinocyl",,"kanemite",,,,,,,
"11","acetamiprid",,"ethanimidamide","NI-25",,,,,,
"12","acetochlor","CP 55097","ICIA-5676","acetochlore","R0 25538","MON 097",,,,
"13","acibenzolar-S-methyl","CGA245704","benzothiadiazole","1,2,3-benzothiadiazole-7-carbothioic acid","azibenzolar-S-methyl","ASM",,,,
"14","acifluorfen-sodium","RH-6201 ","acifluorfene",,,,,,,
"15","aclonifen","AE F068300","aclonifene","RPA 099795",,,,,,
"16","acrinathrin","RU38702","acrinathrine","AE F076003","HOE 76003","NU 702",,,,
"17","alachlor","CP 50144 ","alachlore","acetanilide","methachlor","metachlor","CDMA",,,
"18","alanycarb",,"alanycarbe","alanicarb",,,,,,
"19","aldicarb","ENT 27093","carbamic acid","UC 21149","carbamyl",,,,,
"21","aldrin","OMS 194","HHDN","compound 118","octalene","ENT-16225","OMS-194",,,
"23","alloxydim",,"carbodimedon","zizalon",,,,,,
"109","calcium chloride",,"calcium dichloride",,,,,,,
"110","calcium hydroxide",,"slake lime","pickling lime","hydrated lime","calcium dihydroxide",,,,
"111","calcium phosphate",,"calcium hydroxide phosphate","tricalcium phosphate","tricalcium orthophosphate ",,,,,
"113","captafol","Ortho-5865","captofol","difolatan","merpafol",,,,,
"114","captan","SR 406","captane","captab","ENT 26538",,,,,
"115","carbaryl","UC 7744","sevin","OMS 29","OMS 629","ENT 23969","NMC",,,
"117","carbetamide","RP 11561","carbetamid",,,,,,,
"119","carbon dioxide",,"carbonic anhydride","dry ice",,,,,,
"120","carbophenothion","ENT 23708","carbofenotion","R-1303","Stauffer R-1,303",,,,,
"121","carbosulfan","OMS 3022","FMC 35001",,,,,,,
"122","carboxin","D 735","carboxine","carbathiin","vitavax",,,,,
"123","carfentrazone-ethyl","F 8426","F 116426",,,,,,,
"124","cartap","TL 1258","C 11080","T 1258","thiobel",,,,,
"127","chinomethionat","ENT 25606","oxythioquinox","quinomethionate","chinomethionate","Bayer 36205","Bayer SAS2074",,,
"129","chlomethoxyfen","X-52","chlomethoxynil","diphenex",,,,,,
"130","chloralose",,"glucochloralose","alphachloralose","glucochloral","chloroalosane","glucofuranose",,,
"131","chloramben","ACP M-629","amben","chlorambene",,,,,,
"132","chlorbromuron","C6313","chlorobromuron",,,,,,,
"133","chlorbufam",,"BIPC","chlorobufam",,,,,,
"134","chlordane","OMS 1437","M140","ENT 9932","aspon-chlordane","kypchlor","chlorodane",,,
"135","chlorethoxyfos","DPX 43898","chlorethoxyphos","WL 208304","SD 208304",,,,,
"136","chlorfenapyr","MK 242","AC 303630","CL 303630",,,,,,
"137","chlorfenson","K 6451","chlorfénizon","ephirsulfonate","ovatron","ovex","chlorfenizon",,,
"139","chlorfluazuron","CGA 112913","PP 145 ","UC 64644","IKI-7899",,,,,
"140","chlorflurenol",,"chlorflurecol","IT 3456",,,,,,
"141","chloridazon","BAS 119H","pyrazon","pyrazone","PAC","chloridazone",,,,
"142","chlormephos","MC 2188","chlormethylfos","chlormefos",,,,,,
"143","chlormequat chloride","BAS 062W","chlormequat","AC 38555","2-chloroethyl-trimethyl-ammonium chloride ","chlorocholine chloride",,,,
"144","chlorobenzilate","ENT 18596","chlorbenzylate","chlorobenzylate","G 23992",,,,,
"145","chloroneb",,"chloronebe","terreneb","demosan",,,,,
"146","chlorophacinone","LM 91","chlorphacinone","chlorofacinone","chlorfacinone",,,,,
"148","chloropicrin",,"trichloronitromethane","chlorpicrine","PS",,,,,
"149","chloropropylate","ENT 26999","chlormite","acaralate","G 24163",,,,,
"150","chlorothalonil","DS 2787","TPN","tetrachloroisophthalonitrile","m-TCPN","HSR002825",,,,
"151","chlorotoluron","C 2242","chlortoluron","CTU",,,,,,
"152","chloroxuron","C 1983","chloroxyphenidin","chloroxyfenidim ",,,,,,
"153","chlorpropham","ENT 18060","chlorproham","chlor-IFC","chlorprophame","chlor-IPC","CIPC","chloropropham",,
"154","chlorpyrifos","OMS 971","ENT 27311","chlorpyriphos","Dowco 179","chlorpyrifos ethyl",,,,
"155","chlorpyrifos-methyl","OMS 1155","ENT 27520","Dowco 214","chlorpyriphos-methyl","chlorpyrifos-me",,,,
"156","chlorsulfuron","DPX 4189","W 4189",,,,,,,
"157","chlorthal-dimethyl","DAC 893","dimethyl tetrachloroterephthalate","DCPA","dacthal",,,,,
"158","chlorthiamid","WL 5792.","chloriamide","DCBN",,,,,,
"159","chlozolinate","M 8164","dichlozolinate",,,,,,,
"160","cholecalciferol",,"vitamin D3","colecalciferol","calciol ",,,,,
"162","cinidon-ethyl","BAS 615H","cinidon-ethyl",,,,,,,
"163","cinosulfuron","CGA 142464",,,,,,,,
"164","clethodim","RE 45601","cletodime",,,,,,,
"165","clodinafop-propargyl","CGA 184927","clodinafoppropargyl",,,,,,,
"166","clofencet","Mon 21250 ",,,,,,,,
"167","clofentezine","NC 21314","bisclofentazin",,,,,,,
"168","clomazone","FMC 57020","dimethazone","fenoxan ",,,,,,
"169","clopyralid",,"clopyralid-olamine","Dowco 290","clopyralid acid","3,6-dichloropicolinic acid","DCP",,,
"172","copper II acetate",,"copper acetate","copper(2+) acetate","cupric diacetate",,,,,
"173","copper II carbonate",,"cupric carbonate","copper carbonate hydroxide","bremen blue","copper (II) carbonate","dihydroxydicopper carbonate",,,
"174","copper II chloride",,"cupric chloride","copper dichloride","resin of copper","copper chloride","dichlorocopper",,,
"175","copper II hydroxide",,"cupric hydroxide","copper dihydroxide",,,,,,
"177","copper oxychloride",,"dicopper chloride trihydroxide",,,,,,,
"178","copper sulphate",,"tribasic copper sulphate","Component of Bordeaux mixture","tetracopper, hexahydroxide sulphate semi hydrate",,,,,
"179","coumachlor",,,,,,,,,
"180","coumafuryl",,"fumarin","tomarin",,,,,,
"182","coumatetralyl",,"coumarin",,,,,,,
"183","crimidine",,,,,,,,,
"184","cyanamide","LH 21,810A","amidocyanogen","carbanonitrile","aminoformonitrile","cyanogenamide","hydrogen cyanamide","carbodiimide",,
"185","cyanazine",,"WL 19805","DW 3418",,,,,,
"186","cyazofamid","IKF 916",,,,,,,,
"187","cyclanilide","RPA 090946","cyclanilid",,,,,,,
"188","cycloate","R 2063","hexylthiocarbam",,,,,,,
"189","cycloxydim","BAS 517H","cycloxydime","LAB 172 999",,,,,,
"190","cycluron",,"cyclurin","OMU",,,,,,
"191","cyflufenamid","NF 149",,,,,,,,
"192","cyfluthrin","OMS 2012","cyfluthrine","cyfoxylate","BAY FCR 1272",,,,,
"193","cyhalofop-butyl","DE 537","XDE 537","XRD 537",,,,,,
"196","cymoxanil","DPX T3217","cimoxanil",,,,,,,
"198","cyproconazole","SAN 619","CGA 221949","SAN 751","A-9898A",,,,,
"199","cyprodinil","CGA 219417",,,,,,,,
"201","dalapon-sodium",,"dalapon","proprop","DPA",,,,,
"202","daminozide",,"SADH","DMASA",,,,,,
"203","dazomet","N 521","thiazone","tiazon","DMTT","BAS 00201N",,,,
"204","DDT","OMS 16","clofenotane","dichlorodiphenyltrichloroethane","dicofane","chlorophenothane","NCI C00464",,,
"206","demeton-S-methyl",,"methyl-mercaptophos-teolovy","methyl demeton","mercapthphos",,,,,
"207","desmedipham","EP 475","DMP","desmediphame",,,,,,
"208","desmetryn","G 34360","desmetryne","semeron",,,,,,
"26","aluminium sulphate","T534","aluminium sulfate","cake alum","alumogenite","dialuminum trisulfate","pickle alum",,,
"27","ametryn","G 34162 ","ametryne",,,,,,,
"28","amidosulfuron",,"HOE 075032",,,,,,,
"29","aminopyralid","XDE 750","4-amino-3,6-dichloropicolinic acid","DE 750","XR 750","GF-839",,,,
"31","amitrole",,"aminotriazole","amitolamitril",,,,,,
"32","ammonium acetate",,"acetic acid ammonium salt",,,,,,,
"33","ammonium carbonate",,"diammonium carbonate","carbonic acid ammonium salt",,,,,,
"34","ammonium hydroxide",,"ammonia solution","aqua ammonia","ammonium hydroxyde",,,,,
"35","ammonium sulphamate",,"ammonium sulfamate","ammonium sulfamidate","AMS","monoammonium sulfamate",,,,
"37","ammonium thiocyanate",,"thiocyanic acid, ammonium salt","ammonium rhodonide","ammonium sulfocyanate",,,,,
"38","ancymidol","EL 531","ancymidole",,,,,,,
"39","anilazine","ENT 26 058","NCI-C08684","triasyn","anivaline","zinochlor ","dyrene","B-622",,
"40","anthracene oil",,"paranaphthalene","bis-alkylamino ","green oil","tera olive",,,,
"41","anthraquinone",,"anthradione",,,,,,,
"42","asulam sodium","AE F102789","asulam","HOE 102789","sodium asulam","RPA 4143636","Hoe 102789","AE C518360",,
"43","atrazine","G 30027","aneldazin",,,,,,,
"45","azaconazole",,"1H-1,2,4-triazole","azaconazol",,,,,,
"47","azafenidin",,"azafendin","DPX R6447",,,,,,
"49","azimsulfuron",,"DPX A 8947","DPX 47",,,,,,
"50","azinphos-ethyl","BAY 16259","azinphosethyl","triazotion","azinphos ethyl","R1513","ethyl gusathion",,,
"51","azinphos-methyl",,"azinphosmethyl","metiltriazotion","cotnion methyl","gusathion methyl",,,,
"52","aziprotryne","C 7019","aziprotryn","mesanoril","aziprotyne",,,,,
"53","azocyclotin","BAY BUE 1452","tricyclotin",,,,,,,
"54","azoxystrobin","ICI 5504","azoxystrobine","ICI-A 5504","Icia 5504",,,,,
"58","beflubutamid","UBH 820","UR50601",,,,,,,
"59","benalaxyl","M 9834","benalaxil",,,,,,,
"60","benazolin","RD 7693","benazoline",,,,,,,
"62","benfluralin","EL-110","bethrodine","benfuraline","benefin","benthrodine","balan",,,
"63","benfuracarb",,"OK 174","aminofuracarb",,,,,,
"64","benfuresate","NC 20484",,,,,,,,
"65","benodanil","BAS 3170","benzamide",,,,,,,
"66","benomyl","T 1991","benosan","kribenomy","D-1991","BBC","BNM",,,
"68","bensulfuron-methyl","DPX F5384","methyl bensulfuron","DPX 84","F 5384",,,,,
"69","bensulide","R 4461","benzulfide",,,,,,,
"70","bensultap","OMS 3011","TI 78","TI 1671",,,,,,
"71","bentazone",,"bendioxide","bentazon",,,,,,
"72","benthiavalicarb",,,,,,,,,
"73","benzoximate",,"benzomate",,,,,,,
"74","beta-cyfluthrin","OMS 3051","FCR 4545",,,,,,,
"76","bifenazate",,"D 2341","HSDB 7002",,,,,,
"77","bifenox",,"C11066","MC-4379",,,,,,
"78","bifenthrin","FMC 54800","bifenthrine","biphenthrin","biphentrin","biphenate",,,,
"79","binapacryl","FMC 9044","endosan","HOE 02784","OMS 571",,,,,
"80","bioallethrin",,"allethrin","depallethrine","esbiol","esbiothrin","esdeballethrin",,,
"81","bioresmethrin","FMC 17370","bioresmethrine","NRDC107","biobenzylfuraline","benzofuroline",,,,
"82","biphenyl",,"diphenyl","phenylbenzene ","bibenzene ",,,,,
"83","bispyribac-sodium","KIH-2023","KUH 911","V 10029",,,,,,
"84","bitertanol","KWG 0599","biloxazol","baycor",,,,,,
"85","Bordeaux mixture",,"burgundy mixture",,,,,,,
"86","boscalid","BAS 510F","nicobifen","BAS 510",,,,,,
"87","brodifacoum","WBA 8119","PP581","BFC","bromfenacoum",,,,,
"88","bromacil","DPX N0976","borocil","herbicide 976",,,,,,
"89","bromadiolone","LM 637","broprodifacoum","bromodiolone",,,,,,
"90","bromethalin","OMS 3020","bromethaline","EL 614",,,,,,
"91","bromocyclen",,"bromociclen","bromodan",,,,,,
"92","bromofenoxim","C9122","bromophenoxim",,,,,,,
"93","bromophos",,"bromofos","ENT 27162",,,,,,
"94","bromophos-ethyl","SHG-2225","bromophosethyl","ethyl bromophos",,,,,,
"95","bromopropylate","GS 19851","phenisobromolate","Isopropyl 2,2-bis-(4-bromo-phen-yl)-2-hy-droxy-acetate",,,,,,
"97","bromuconazole","LS 860263","bromoconazole","LS 850646","LS 850647",,,,,
"99","bupirimate","PP 588","bupirimat","R-70588",,,,,,
"100","buprofezin","PP 618","buprofezine","NNI 750","ST-29285",,,,,
"101","butachlor","CP 53619","amichlor","CP 53619","rasayanchlor",,,,,
"102","butocarboxim","Co 755",,,,,,,,
"103","butoxycarboxim","Co 859",,,,,,,,
"104","butralin","Amchem70-25","amchem A-820","butraline","dibutralin","SB-5140",,,,
"105","butylate","R 1910","butilate",,,,,,,
"106","cadusafos","FMC 67825","ebufos",,,,,,,
"107","calciferol",,"ergocalciferol","ercalciol","vitamin D2",,,,,
"232","difenzoquat","BAS 450H",,,,,,,,
"233","difethialone","OMS 3053","LM 2219",,,,,,,
"234","diflubenzuron","OMS 1804","DFB","difluron","ENT 29054",,,,,
"235","diflufenican","AE 088657","diflufenicanil","DFF",,,,,,
"236","dimefox",,"TL 792",,,,,,,
"237","dimefuron","RP 23465",,,,,,,,
"238","dimepiperate","MY 93","yukamate",,,,,,,
"239","dimethachlor","CGA 17020","dimethachlore",,,,,,,
"240","dimethenamid","SAN 582H","dimetenamid",,,,,,,
"241","dimethenamid-P",,"dimethenamide-P","(S)-dimethenamid",,,,,,
"242","dimethipin","N 252","UNI N252 ","oxidimethiin","oxydimethiin","tetrathiin",,,,
"243","dimethirimol","PP675","dimethyrimol",,,,,,,
"245","dimethomorph","CME 151","dimethomorphe","AC 336379","CL 336379","BAS 550F",,,,
"246","dimoxystrobin","BAS 505F",,,,,,,,
"247","diniconazole","XE-779",,,,,,,,
"248","dinitramine","USB 3584","diethamine",,,,,,,
"249","dinobuton","OMS 1056","ENT 27244","MC 1053","dinofen","UC 19786",,,,
"250","dinocap","ENT 24727","DPC","DNOPC","crotothane","dinocap-4","dinocap-6","meptyldinocap",,
"251","dinoseb","HOE 26150","DNBP","dinosebe","dinitro-general","DN 289",,,,
"252","dinoterb","LS 63133","DNTBP",,,,,,,
"253","dioxacarb","C8353","I-1519","OMS 1102",,,,,,
"254","diphacinone",,"diphacin","diphenadione",,,,,,
"255","diphenamid","L 34314","diphenamide","diphenylamide","difenamide",,,,,
"256","diquat dibromide",,"diquat","deiquat","reglone",,,,,
"257","disulfoton","ENT 23347","M 74","ethylthiodemeton","thiodemeton","dithiodemeton","dithiosystox",,,
"258","dithianon","BAS 216F","IT 931","CME 107",,,,,,
"259","dithiopyr","RH 101664","MON 15100","MON 7200",,,,,,
"260","diuron","DPX 14740","dichlorfenidim",,,,,,,
"261","DNOC","ENT 154","dinitrosol","dinitrol","4,6-dinitro-O-cresol",,,,,
"262","dodemorph",,"doazine",,,,,,,
"263","dodine","BAS 365F","cytrex","doguadine","tsitrex","CL 7521","carpene",,,
"264","endosulfan","OMS 570","thiodan","benzoepin","FMC 5462","ENT 23979","thiosulfan",,,
"265","endothal",,"endothall","endothal acid",,,,,,
"266","endrin",,"nendrin","OMS 197","aldrin epoxide","Experimental Insecticide 269",,,,
"267","epoxiconazole","BAS 480F","epoxyconazole",,,,,,,
"268","EPTC","R 1608","ethyl dipropylthiocarbamate","epthame","eptam",,,,,
"269","esfenvalerate","OMS 3023","fenvalerate-U","DPX YB656","S-5602-alpha",,,,,
"270","ethaboxam","LGC 30473",,,,,,,,
"271","ethalfluralin","EL 161","ethalfluraline","HSDB 6474",,,,,,
"272","ethanedial",,"glyoxal","glyoxime","ethanedione","biformal","oxaldehyde",,,
"274","ethephon",,"chlorethephon","2-CEPA","2-chloroethylphosphonic acid",,,,,
"275","ethiofencarb","BAY 108594","ethiophencarbe","HOX 1901",,,,,,
"278","ethofumesate","AE B049913","NC 8438","SN 49913","HBX06",,,,,
"279","ethoprophos",,"ethoprop","phosethoprop","mocap",,,,,
"281","ethoxysulfuron","AE F095404","HOE 095404",,,,,,,
"283","etofenprox","MTI 500","ethofenprox","OMS 3002",,,,,,
"284","etoxazole","S 1283","Yl 5301",,,,,,,
"285","etridiazole","Olin 2424","echlomezol","ethazol","athazole","terrazole","OM 2424",,,
"286","etrimfos",,"etrimphos",,,,,,,
"287","famoxadone","JE 874","DPX JE874","IN JE874",,,,,,
