ID,Active,Reference,Solubility  in water at 20 DegC - mg/l,Solubility  in water at 20 DegC - quality barometer,Solubility in organic solvents at 20 DegC 1 - mg/l,Solubility in organic solvents at 20 DegC 1 - quality barometer,Solubility in organic solvents at 20 DegC 2 - mg/l,Solubility in organic solvents at 20 DegC 2 - quality barometer,Solubility in organic solvents at 20 DegC 3 - mg/l,Solubility in organic solvents at 20 DegC 3 - quality barometer,Solubility in organic solvents at 20 DegC 4 - mg/l,Solubility in organic solvents at 20 DegC 4 - quality barometer,Melting point  - deg C,Melting point - quality barometer,Boiling point at 1atm - deg C,Boiling point at 1atm - quality barometer,Thermal degradation temperature at 1atm - deg C,Thermal degradation temperature at 1atm - quality barometer,Flashpoint - deg C,Flashpoint - quality barometer,LogP,LogP - quality barometer,Vapour pressure - mPa,Vapour pressure - quality barometer,Henrys law constant Hd - Pa m3 mol-1,Henrys law constant Hd - quality barometer,General biodegradability,Soil DT50 typical - days,Soil DT50 typical - quality barometer,Soil DT50 lab - days,Soil DT50 lab - quality barometer,Soil DT90 lab - days,Soil DT90 lab - quality barometer,Soil DT50 field - days,Soil DT50 field - quality barometer,Soil DT90 field - days,Soil DT90 field - quality barometer,Soil DT50 modelling endpoint,Soil DT50 modelling endpoint - quality barometer,Soil DT50 notes,Kd - ml/g,Koc - ml/g,Kd & Koc - quality barometer,Kd & Koc - notes & range,Kf - ml/g,Kfoc - ml/g,Freundlich Exponent (1/n),Freundlich isotherm - quality barometer,Kf & Kfoc - notes & text,Koc pH sensitivity,Aqueous photolysis DT50 - days,Aqueous photolysis DT50 - quality barometer,Aqueous photolysis DT50 - notes,Aqueous Hydrolysis DT50 at pH7 - days,Aqueous Hydrolysis DT50 at pH7 - quality barometer,Aqueous Hydrolysis DT50 at pH7 - notes,Whole water-sediment system DT50 - days,Whole water-sediment system DT50 - quality barometer,Water phase DT50 - days,Water phase DT50 - quality barometer,Dissipation rate RL50 on plant matrix,On plant matrix RL50 - quality barometer,On plant matrix RL50 - notes,Dissipation rate RL50 on and in plant matrix,On and in plant matrix RL50 - quality barometer,On and in plant matrix RL50 - notes,Metabolite 1 - ID,Metabolite 1 - name,Metabolite 1 - reference,Metabolite 1 - formation medium,Metabolite 1 - estimated maximum occurrence,Metabolite 1 - Annex 1 relevant,Metabolite 2 - ID,Metabolite 2 - name,Metabolite 2  - reference,Metabolite 2 - formation medium,Metabolite 2 - estimated maximum occurrence,Metabolite 2 - Annex 1 relevant,Metabolite 3 - ID,Metabolite 3 - name,Metabolite 3 - reference,Metabolite 3 - formation medium,Metabolite 3 - estimated maximum occurrence,Metabolite 3 - Annex 1 relevant,Metabolite 4 - ID,Metabolite 4 - name,Metabolite 4 - reference,Metabolite 4 - formation medium,Metabolite 4 - estimated maximum occurrence,Metabolite 4 - Annex 1 relevant,Metabolite 5 - ID,Metabolite 5 - name,Metabolite 5 - reference,Metabolite 5 - formation medium,Metabolite 5 - estimated maximum occurrence,Metabolite 5 - Annex 1 relevant,Metabolite 6 - ID,Metabolite 6 - name,Metabolite 6 - reference,Metabolite 6 - formation medium,Metabolite 6 - estimated maximum occurrence,Metabolite 6 - Annex 1 relevant,Acid dissociation constant (Pka),pKa - quality barometer,pKa - detail,Bulk bensity (g/ml)/Specific gravity,Density - quality barometer,State,Max UV-VIS absorption - l mol-1 cm-1,Max UV-VIS absorption - quality barometer,Surface tension - mN/m,Surface tension - quality barometer,GUS,SCI-GROW
"255","diphenamid","L 34314","260","L3","189000","L3 Acetone","50000","L3 Xylene",,,,,"135","Q3",,,,,,,"2.17","V3","3.04E-03","V3 @ 25 degC","3.68E-06","V3 @ 25 degC",,"30","M3",,,,,,,,,,,"Best available data",,"210","M3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.17","L3","Colourless crystals",,,,,"2.47828554050707","0.13534872282721"
"256","diquat dibromide",,"718000","A5","25000","A5 Methanol","100","A5 Acetone","100","A5 Toluene","100","A5 Ethyl acetate","Decomposes before melting","A5","Decomposes before boiling","A5","325","A5","Not expected to self ignite; Not highly flammable","A5","-4.6","A5","0.01","A5","5.00E-12","A5",,"2345","A5","365","A1",,,"5500","A5",,,,,"EU dossier lab studies DT50 range 598 to >1000 days; DT90 range 1985-20509 days; Other data: DT50 Lab studies - no measureable degradation after 1 year, field study DT50 range 1-20 years (UK)",,"2184750","A5",,"1740","78274","3.85","R4","Kf range 288-7222 mL/g; Kfoc range 14400-144440 mL/g; 1/n range 1.7-5.0, Soils=9",,"7","A5",,"Stable","A5","Stable pH 5 to pH 9","1","A5","1","A5",,,,,,,"2937","1-oxo-1,2,3,4-tetrahydropyrido(1,2-a)pyrazin-5-ium","R32245","Soil","0.099","Minor fraction; Relevant",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Not applicable","A5","No dissociation","1.61","A5","White/yellow crystals","[204nm, 272nm, 310nm]","A3",,,"-3.3424536601733","5.35307472937412E-03"
"257","disulfoton","ENT 23347","25","F4","Miscible","L3 n-Hexane","Miscible","L3 Dichloromethane","Miscible","L3 Isopropanol","Miscible","L3 Toluene","-25","L3",,,,,"133","L3","3.95","H4","7.2","H4","1.60E-01","H4",,"30","M4","2","M4",,,,,,,,,"Best available data",,"1345","H3","Other sources: 600 mL/g (DW3)","39.5",,"1.09","Q2","General literature data: Kf range 15.5-24.3 mL/g, mean of 8 values for 2 loam soils.",,"4","P2",,"300","P3",,"15","Q3","15","Q3",,,,,,,"1088","disulfoton sulfoxide",,"Soil","0.05",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.14","F4","Yellow oil",,,,,"0.262280726967727","6.28618709732824E-04"
"258","dithianon","BAS 216F","0.22","A5","14700","A5 Toluene","22200","A5 Acetone","10600","A5 Ethyl acetate","8.77","A5 Hexane","215","A5",,,"222","A5","Not expected to self ignite; Not highly flammable","A5","3.2","A4 @ pH 2.0","1.0E-07","A3","1.347E-07","A4",,"10.5","A5","10.5","A5","69.2","A5","35","Y4",,,,,"EU dossier lab studies DT50 range 2.6-33.3 days, DT90 range 8.5-135 days","86.4","3627",,"EU dossier Kd range 9-157 mL/g, Koc range 1167-6004 mL/g, Soils=5",,,,,,"Not stable under wet conditions pH > 4","0.01","A5",,"0.6","A5","pH sensitive: DT50 10.7 days at pH 5, 9.8 minutes at pH 9 all at 20 degC","0.05","A4","0.05","A4","18.3","R4","Published literature RL50 range 14.9-21.4 days, fruit from 3 field crops, n=3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Not applicable","A5","No dissociation","1.58","L3","Dark brown fibrous crystals","[In CH3CN: 199nm = 35932, 233nm = 20542, 330nm = 5083, 290.5nm = 6535]; [pH 1.3: 199nm = 18102, 237nm = 15110, 342nm = 4489, 290.5nm = 5100]; [pH 6.9: 199nm = 22380, 250nm = 15110, 350nm = 7204, 290.5nm = 8724]","A5","72.7","A5 @20DegC","0.680088544484218","1.27579234649486E-02"
"259","dithiopyr","RH 101664","1.38","F4","33000","F4 Hexane","250000","F4 Toluene","500000","F4 Diethyl ether","120000","F4 Ethanol","65","F4",,,,,,,"5.88","K3",,,,,,"39","L3",,,,,"39","F3",,,,,"General literature values DT50 range 17-61 days; Other sources: DT50 400 days (US3)",,"801","US3",,,,,,,,"19.1","F4",,"Stable","F4","Not pH sensitive",,,,,"3.6","R3","Turfgrass, n=1","3.9","R3","Perennial ryegrass, n=1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"N/a","F4","No dissociation","1.413","F4","Off-white coloured powder with sulphurous odour",,,,,"1.74439149995306","0.053846341293747"
"260","diuron","DPX 14740","35.6","A5 ar 35 degC","1470","A5 o-Xylene","47200","A5 Acetone","19000","A5 Ethyl acetate","14400","A5 1,2-Dichloroethane","157.2","A5","Decomposes before boiling","A5","330","A5","Not expected to self ignite; Not highly flammable","A5","2.87","A5","1.15E-03","A5","2.00E-06","A5","Not readily biodegradable","146.6","A5","146.6","A5","516.1","A5","229","A5","2000","A4","116.5","A5 normalised geometric mean of lab studies, dark aerobic conditions","EU dossier 2018 lab studies DT50 range 27.3-472 days, DT90 range 90.8-1570 days, soils=7; field studies DT50 range 54-792 days, DT90 range 180 - >10,000 days, Soils=6 days, 7 soils","12.8","680","A5","EU 2018 dossier Kd range 7.7-20.4 mL/g, Koc range 543-956 mL/g; Other sources: Koc = 238-1750 mL/g, Soils=10","7.0","757","0.75","A5","EU 2018 dossier kf range 4.48-12.52 mL/g, Kfoc range 293-504 mL/g, 1/n range 0.67-0.89, Soils=5; Other sources: Kfoc range 293-909 mL/g, Soils=14","None","43","A5",,"Stable","A5","Stable pH 4 to pH 9","48","A4","8.8","A5",,,,,,,"775","1-(3,4-dichlorophenyl)-3-methylurea",,"Soil","0.330","Major fraction, Relevant","776","3,4-dichlorophenyl urea",,"Soil","0.245","Major fraction, Relevant","923","3,4-dichloroaniline",,"Soil","0.02","Minor fraction, Not relevant",,,,,,,,,,,,,,,,,,,"Not applicable","A5","No dissociation","1.5","A5","Off-white powder","[Neutral pH: 210nm=29414, 248nm=18516, 290nm=1002], [Acidic pH: 211nm=29433, 248nm=18697], [Basic pH: 220nm=21465, 248nm=16935]","A5","72.1","A5","2.64514931585672","0.205276273343593"
"261","DNOC","ENT 154","13000","K4","251000","L3 Toluene","58400","L3 Methanol","4030","L3 Hexane","514000","L3 Acetone","89","L3","196","L3",,,,,"2.39","K4","8.7","K4","1.42E-01","V3",,"8.5","K4","20","DW4",,,,,,,,,"General literature DT50 range  4-13 days (R3)",,"300","H3","Other sources: 408 mL/g (DW3)",,,,,,,"10","Q3",,,,,"83","Q3","25","Q3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4.48","L3","Weak acid","1.58","L3","Yellow to green coloured crystals",,,,,"1.98131092736885","6.26381754758395E-02"
"262","dodemorph",,"100","A4","50000","L3 Ethanol","1000000","L3 Chloroform","57000","L3 Acetone","185000","L3 Ethyl acetate","41.5","A4",,,,,,,"4.6","A5","0.48","L3","7.70E-01","L3",,"41","W4","41","A5",,,,,,,,,"EU dossier lab studies DT50 range 24 (loamy sand) - 125 (sandy loam) days",,,,,"224","25200","0.855","A5","EU dossier kf range 54-336, 1/n range 0.742-0.945, Soils=4 - EU dossier value for dodemorph acetate. Research literature range 4200-48000 mL/g",,,,,,,,"53","A5","1.3","A5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8.08","L3","Weak acid","0.89","Q2","Colourless solid (cis-isomer)",,,,,"-0.647372312251046","5.35307472937412E-03"
"263","dodine","BAS 365F","930","A5","18","A5 n-Heptane","4","A5 Xylene","48","A5 Acetone","57000","A5 Ethanol","132.2","A5","Decomposes before boiling","A5","200.5","A5","Not expected to self ignite; Not highly flammable","A5","1.25","A5","5.49E-03","A5","1.69E-06","A5",,"4.7","A5","4.8","A5","17.8","A5","13.3","A5","60.1","A5",,,"EU dossier lab studies DT50 range 2.6-8.2 days, DT90 range 10.5-27.2 days; field studies DT50 range 6.7-18.6; DT90 range 22.1-108.3 days ","10472","4236500","A4","EU dossier Kd range 2202-18019 mL/g, Koc range 5.51E05 - 1.29E07 mL/g, Soils=4",,,,,,"No","12.6","A5",,"914","A5","pH sensitive: DT50 576 days at pH 5, 1198 days at pH 9, all at 25 deg C","0.33","A5","0.18","A5",,,,"4.0","R4","Published literature RL50 range 3.6-4.5 days, apple, various matrices, n=2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Not applicable","A5","No dissociation",,,"Colourless to yellow fine waxy powder. Product may be liquid.","[200nm= 2600, 290nm = 1.5]","A5","50.6","A5 @20DegC","-2.95236636462578","5.35307472937412E-03"
"264","endosulfan","OMS 570","0.32","H4","200000","C4 Ethyl acetate","65000","C4 Ethanol","24000","C4 Hexane","200000","C4 Toluene","80","L3",,,,,,,"4.75","E4","0.83","L3","1.48","L3",,"50","L3","39","A5",,,"86","A5",,,,,"EU dossier lab studies DT50 range 28-50 days, field studies DT50 range 62-126 days for summer applications, 68-87 days for autumn applications (UK); FAO state DT50 60-800 days",,"11500","L3",,"0.28","18.6","0.558","R3","Literature data Kf range 0.08-0.52 mL/g, Kfoc range 5.7-38.5 mL/g, 1/n range 0.500-0.648, soils=4",,,,,"20","C4",,,,,,"3.7","R4","Published literature RL50 range 0.1-5.5 days, 19 field crops, various matrices, n=23","4.3","R4","Published literature RL50 range 0.4-14.5 days, 19 field & undercover grown crops, various matrices, n=41","777","endosulfan sulfate",,"Soil",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.8","L3","Colourless to brown coloured crystals",,,,,"5.28212298055105","5.85928318027799"
"265","endothal",,"100000","G4","280000","L3 Methanol","76000","L3 Dioxane","70000","L3 Acetone","100","L3 Benzene","144","L3",,,,,"Not expected to self ignite; Not highly flammable","L3","1.91","V3","2.09E-05","G4","3.90E-11","V3",,"5","G4",,,,,"7","F3",,,,,"Best available data",,"85","H3","Other sources: Koc 124 mL/g (US3, DW3)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3.4","L3","pKa(2) 6.7","1.43","L3","Colourless to white crystals",,,,,"1.74984400756947","1.21649693940382E-02"
"266","endrin",,"0.24","H4",,,,,,,,,"200","V3",,,,,,,"3.2","H4","2.0E-07","F4","1.48E-01","H4",,"4300","M4",,,,,,,,,,,"Other sources: DT50 up to 12 years (R3); FAO state DT50 4-14 days",,"10000","H3","Other sources: 31623 mL/g (R3)",,,,,,,,,,,,,,,,,"3.3","R3","Birdsfoot trefoil leaves, n=1","4.0","R4","Published literature RL50 range 1.0-7.0 days, 2 field crops, various matrices, n=2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.84","Q2","White crystals",,,,,"1.61358413545347E-15","5.35307472937412E-03"
"267","epoxiconazole","BAS 480F","7.1","A5","100000","A5 Ethyl acetate","140000","A5 Acetone","28800","C4 Ethanol","40000","A5 Toluene","136.2","A5","310","A5","310","A5","Not expected to self ignite; Not highly flammable","A5","3.3","A5","3.5E-04","A5","1.649E-05","A5","Not readily biodegradable","353.5","A5","353.5","A5","1000","A5","97.7","A5","2960","A5",,,"EU 2019 dossier lab studies DT50 (normalised) range 127.1-1000 days, DT90 (measured) > 1000 days, Soils=20. Field studies DT50 (measured) range 0.75-247.8 days, DT90 (measured) range 183.7->10,000 days, Soils=12; Other studies: lab DT50 range 224-2236 days, field range 52-226 days",,,,,"12.2","894","0.86","A5","EU 2019 dossier Kf range 8.24-17.8 mL/g, Kfoc range 702-1962 mL/g, 1/n range 0.83900.882, Soils=5","No","53","A5",,"Stable","A5","Stable pH 5 to pH 9 at 25 degC, some hydrolysis at elevated temperatures","103.6","A5","1000","A5 (default)",,,,"11.8","R4","Published literature RL50 range 3.1-26.5 days, 5 field crops, various matrices, n=5","708","1,2,4-triazole","CGA 71019","Soil","0.066","Minor fraction, Relevant",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Not applicable","A5","No dissociation","1.38","A5","Colourless crystalline solid","[204nm = 32000, 263nm = 390; No absorption above 290nm]","A5","72.9","A5 @20DegC, 6.4mg/L","2.08672777052384","9.22264095161545E-02"
"268","EPTC","R 1608","370","K4","Miscible","C4 Acetone","Miscible","C4 Benzene","Miscible","C4 Xylene","Miscible","C4 Ethanol","Not applicable","L3","127","L3","200","L2","110","L3","3.2","G4","4500","G3","5.00E-06","L3",,"6","M3",,,,,"18","C4",,,,,"Literature DT50 range 6-30 days in the field; Other sources: DT50 30-60 days (R3)",,"300","G3","Other literature sources: 109-240 mL/g (R3)","0.76","187.7","0.905","R3","Literature data: Kf range 0.36-0.47 mL/g, Kfoc range 153-222 mL/g, 1/n range 0.826-0.984, soils=2",,,,,"300","C4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Not applicable","Q3","No dissociation","0.96","L3","Pale yellow liquid",,,,,"2.16727282765696","7.49694404448287E-02"
"269","esfenvalerate","OMS 3023","0.001","A5","26000","A5 n-Hexane","82000","A5 Methanol","500000","A5 Acetone",,,"59.1","A5","356","A5","356","A5 Decomposes on boiling","Not expected to self ignite; Not highly flammable","A5","6.24","A5","1.17E-09","A5","4.92E-04","A5",,"66.6","A5","66.6","A5","249","A5","19.2","A5","125.2","A5",,,"EU dossier Lab studies DT50 range 36.5 - 198.7 days, DT90 range 90 - 439 days, Field studies DT50 range 0.3 - 38.8 days, DT90 range 31.3 -  259 days","4075","251717","L3","EU dossier Kd range 600-15500 mL/g, Koc range 85700 - 596200 mL/g",,,,,,"No","2","A5","DT50 10 days in natural sunlight and pure water, 6 days in artifical sunlight and sterilised water","428","A5","pH4 stable, pH9 5.3 days","56","A5","30","A3","2.0","R4","Published literature RL50 range 1.0-3.5 days, 2 field crops, various matrices, n=3",,,,"778","(1RS)-2-amino-2-oxo-1-(3-phenoxyphenyl)ethyl","SD-47117","Soil","0.320","Major fraction, Relevant","692","3-phenoxybenzoic acid",,"Soil","0.271","Major fraction; Relevant","2773","(2RS)-2-(4-chlorophenyl)-3-methylbutanoic acid",,"Soil","0.444","Major fraction; Relevant",,,,,,,,,,,,,,,,,,,"Not applicable","A5","No dissociation","1.23","A5","Amber solid","[Acid: 277nm=2242.6], [Neutral: 277.1nm=2237], [Basic: 223,6nm=31353, 305.3nm=1247.7]","A5",,,"-1.79779279302682","5.35307472937412E-03"
"275","ethiofencarb","BAY 108594","1900","K4","7500","L3 Hexane","200000","L3 Toluene","200000","L3 Dichloromethane",,,"33.4","L3","Decomposes on distillation","L2",,,"123","L3","2.04","V3","0.5","K4","1.17E-04","V3",,"37","K5",,,,,,,,,,,"General literature DT50 range 34-131 days (R3)",,"52","P3",,,,,,,,,"L3","Rapid in sunlight","16","K4",,"52","Q3","21","Q3",,,,,,,"779","ethiofencarb sulfoxide",,"Soil",,,"780","ethiofencarb sulfone",,"Soil",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.23","L3","Colourless crystals",,,,,"3.58176749427516","0.588676165542304"
"278","ethofumesate","AE B049913","50","A5 @ 25 DegC","260000","A5 Acetone","600000","A5 Dichloromethane","600000","A5 Ethyl acetate","114000","A5 Methanol","70.7","A5","Decomposes before / on boiling @ 305-320 Deg C","A5",">220","A5","Not expected to self ignite; Not highly flammable","A5","2.7","A5","0.36","A5","3.72E-03","A5",,"21.6","A5","21.6","A5","100.6","A5","37.8","A5","264","A5",,,"EU dossier (2016) lab studies DT50 range 8.5-80.5 days, DT50 range 38.7-228 days, Soils =18; Field studies DT50 range 13.5-110 days, DT90 range 72-522 days, Soils = 13; Other data DT50 30 days (DW4)",,,,,"1.74","118","0.91","A5","EU dossier (2016) Kf range 0.7-6.2 mL/g, Kfoc range 48-247 mL/g, 1/n range 0.84-0.96, Soils=12","No","15.6","A5",,"Stable","A5","Stable pH 5 to pH 9.2","591","A5","20","A5","6.2","R3","Ryebrass blades, n=1","3.0","R3","Creeping bent blades, n=1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Not applicable","A5","No dissociation","1.3","A5","White to beige coloured crystalline solid","[Neutral pH: 203nm=19441; 228nm=7228; 281nm=2797; 291nm=1412], [Acidic pH: 202nm=24122; 227nm=7339; 280nm=2797; 291nm=1357], [Basic pH: 202.5nm=17362; 227nm=6716; 280.5nm=2546]","A5","68.3","A5","3.0415903225932","0.299009104957028"
"298","fenhexamid","KBR 2738","24.0","A5","160000","A5 Acetone","31000","A5 Dichloromethane","100","A4 n-Hexane","5700","A5 Toluene","153.8","A5","230","A5","230","A5","Not expected to self ignite; Not highly flammable","A5","3.51","A5","4.00E-04","A5","5.00E-06","A5",,"0.43","A5","0.43","A5","1.16","A5",,,,,,,"EU dossier lab studies DT50 range 0.09-8.13 days, DT90 range 0.54-2.54 days, Other sources: DT50 25 days (DW2)","No data","475","E4","Other sources: 700 mL/g (DW3)","10.13","733.5","0.85","A5","EU dossier Kf range 2.45-15.79 mL/g, kfoc range 313-1226 mL/g, 1/n range 0.762-0.896, Soils=10","No","0.05","C4",,"Stable","C4","Stable pH 5 to pH 9 for 30 days at 25 degC","10.9","A5","4.92","A5","7.7","R3","Strawberry fruit, n=1 ","9.0","R4","Published literature RL50 range 4.8-14.8 days, 4 field & undercover grown crops, various matrices, n=4","2603","deschlorofenhexamid",,"Soil","0.068","Minor fraction, Relevant","2605","biphenyl-fenhexamid",,"Soil","0.088","Minor fraction, Relevant",,,,,,,,,,,,,,,,,,,,,,,,,"7.3","A5",,"1.34","L3","White powder","[203nm=41340, 291nm=28101]","A5","63.0","A5","-0.415866646982959","5.08870952784735E-05"
"299","fenitrothion","OMS 43","19","A5","25000","A5 n-Hexane","500000","A5 Methanol","500000","A5 Acetone","500000","A5 Ethyl acetate","1","A3","Decomposes before boiling","A5","210","A5","157","L3","3.32","A5","0.676","A5","9.86E-03","A5",,"2.7","A5","2.7","A5","4.48","A5",,,,,,,"EU dossier lab studies DT50 range 0.04-1.98 days, DT90 range 2.16-6.58 days",,"2000","DW2",,"180","791","0.982","A5","EU dossier Kf range 4.9-830 mL/g, Kfoc range 252-1966 mL/g, 1/n range 0.86-1.10, Soils=5","Some indication that adsorption may increase with decreasing pH","3.5","A5",,"183","A5","Slightly sensitive to pH: DT50 195 days at pH5, 100 days at pH 9","1.57","A5","1.1","A5","8.0","R4","Published literature RL50 range 0.5-4.2 days, 7 field & undercover grown crops, various matrices, n=8","5.3","R4","Published literature RL50 range 1.5-10.6 days, 15 field & undercover grown crops, various matrices, n=23; lettuce in cold storage RL50=27 days.","797","3-methyl-4-nitrophenol",,"Soil","0.445","Major fraction, Relevant",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Not applicable","A5","No dissociation","1.33","A5","Yellow brown liquid","[Neutral solution: 290nm = 4210]; [Acidic solution: 290nm = 4390]; [Basic solution: 290nm = 2370]","A5","68.5","A5 ","0.475286739517334","1.24678578474256E-03"
"300","fenoprop",,"140","H4",,,,,,,,,"180","Q3",,,,,,,"3.8","V3","0.1","H4","1.93E-04","H4",,"14","W4",,,,,,,,,,,"Best available data",,"2600","H3",,,,,,,,,,,,,,,,,,,,,"4.5","R3","Kentucky bluegrass, n=1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2.84","V3","Strong acid","1.21","Q3","White powder",,,,,"0.670515447509623","1.12073601124962E-02"
"301","fenothiocarb","KCO 3001","30","L3","3800000","L3 Cyclohexanone","2530000","L3 Acetone","80000","L3 Kerosene","47100","L3 n-Hexane","39.5","L3",,,,,,,"3.28","L3","0.166","L3","1.40E-03","V3",,"12","L2",,,,,,,,,,,"Best available data",,"7380",,"Best available data",,,,,,,"6.5","L3",,"Stable","L3","Stable pH 4 to pH 9 at 25 degC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.21","L3","Pale amber crystals",,,,,"0.142391099855868","5.98850841290401E-03"
"302","fenoxaprop-ethyl",,"0.9","B5","510000","B4 Acetone","340000","B4 Toluene","20000","B4 Ethanol","5000","B4 Hexane","86","Q3",,,,,,,"4.28","B5","1.87E-04","B5","1.60E-03","H4",,"5","B4","5","B4",,,"4","Y4",,,,,"Lab studies DT50 range 1-14 days; General literature: DT50 9 days (aerobic conditions), 30 days (anaerobic conditions)",,"9490","H3",,,,,,,,"171","B5",,"100","B5",,"1","K4",,,,,,,,,"1006","fenoxaprop","HOE 053022","Soil","0.60","Major fraction",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Not applicable","R4","No dissociation","1.3","B5","White solid",,,,,"1.36871039488761E-02","1.91516755921618E-03"
"303","fenoxaprop-P-ethyl","AE F046360","0.43","A5","7000","A5 n-Hexane","400000","A5 Acetone","43100","A5 Methanol","380000","A5 Ethyl acetate","89","A5","Decomposes before boiling","A5","330","A5","Not expected to self ignite; Not highly flammable","A5","4.58","A5","6.50E-03","A5","5.5E-03","A5",,"0.36","A5","0.36","A5","2.4","A5",,,,,,,"EU 2018 dossier lab studies DT50 (normalised) range 0.07-1.4 days, DT90 range 0.24-6.1 days, Soils=8; Other sources: 10.5 days (DW4)","278.5","11354","A5","EU 2018 dossier Kd range 57-443 mL/g; Koc range 5419-26200; Soils=8, for FOCUS GW studies use Koc = 6000",,,,,,"No","105","A5","DT50 57.5 days at pH 5 (sterile buffer), 7.2 days at pH 9 (natural waters)","22.2","A5","pH sensitive: DT50 2.8 days at pH 4, 19.2 days at pH 5, 0.7 days at pH 9, all at 25 degC","0.1","A5","0.1","A5",,,,"1.8","R4","Published literature RL50 range 1.5-2.1 days, 2 field crops, various matrices, n=3","1004","fenoxaprop-P","AE-F088406","Soil","0.858","Major fraction, Relevant","1005","chlorobenzoxazolone","AE-F054014","Soil","0.191","Major fraction, Relevant",,,,,,,,,,,,,,,,,,,,,,,,,"0.18","A5","Very strong acid","1.32","A5","White solid","[239nm = 22862, 278nm = 7980, 291nm = 1488]","A5","70.5","A5 @ 20 degC","0.024469424529384","5.35307472937412E-03"
"304","fenoxycarb","OMS 3010","7.9","A5","500000","A5 Ethyl acetate","500000","A5 Acetone","500000","A5 Toluene","4600","A5 n-Hexane","53.6","A5","100.4","A3","248","A5","Not expected to self ignite; Not highly flammable","A5","4.07","A5","8.67E-04","A5","3.3E-05","A5",,"1.55","A5","1.55","A5","26.1","A5","5.94","A5","22.4","A5",,,"EU dossier lab studies DT50 range 0.75-2.27 days, DT90 range 4.87-66.5 days; field studies DT50 range 4.08-8.89 days, DT90 range 13.55-29.53",,,,,"24.5","1816","0.89","A5","EU dossier kf range 4.4-46.7 mL/g, Kfoc range 1251-2599 mL/g, 1/n range 0.84-0.96, Soils=5; Other literature studies: Mean of 4 soils. Sandy loam Kf=18-77; Loam Kf=77","No","16.1","A5",,"Stable","A5","Stable pH 3 to pH 9 up to 50 degC","15","A5","4.13","A5",,,,"12.0","R4","Published literature RL50 range 5.0-26.0 days, 3 field crops, various matrices, n=3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Not applicable","A5","No dissociation","1.23","B5","White flaky powder","[Neutral solution: 228nm = 15219, 278nm = 2453, 300nm = 745]; [Acidic solution: 228nm = 15062, 278nm = 2357, 300nm = 643]; [Basic solution: 228nm = 14879, 278nm = 2374, 300nm = 664]","A5","56.7-57.6","A5 @20DegC","0.573286117070931","5.02078215774679E-03"
"306","fenpropathrin","OMS 1999","0.33","B5","25200","B4 Methanol","23000","B4 n-Hexane","50000","B4 Xylene","50000","B4 Ethyl acetate","47.5","L3",,,,,"205","F4","6.04","B5","0.76","B5","1.82E+01","H4",,"34","K4","31","Q3",,,"28","H4",,,,,,,"5000","H3",,"283.5","35660",,"R3","Kf range 184-486 mL/g, Kfoc range 22105-51158 mL/g, 1/n - no data, Soils=4",,"14","B3",,"1130","B4",,"28","K4","1","K4","5.0","R3","Mandarin leaves, n=1","1.8","R4","Published literature RL50 range 0.9-4.1 days, 4 field & undercover grown crops, various matrices, n=4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.15","B5","Yellow-brown solid with characteristic odour",,,,,"-0.799093659258643","5.35307472937412E-03"
