ID,Active,Reference,Taxonomic classification,Substance source,Substance production,Target Pests,Uses,Target Host,Product 1,Manufacturer 1,Product 2,Manufacturer 2,Product 3,Manufacturer 3,Known to used in the following countries,Farming system suitability
"2019","1,8-cineole",,,"Tea tree oil was first used in the 18th Century by Australia indiginous people as a natural remedy to treat various ailments","Tea tree oil is harvested by steam extraction from the leaves and branches of the plant <i> Melaleuca alternifolia</i>","Various fungal pathogens including powdery mildew on fruit & vegetables and early blight on potatoes","Crop protection","Various crops including potatoes, carrots, tomatoes, cucumbers, fruit and ornamentals","Timorex","BioMor Latvija",,,,,,"Tea tree oil is suitable for use in organic farming and for IPM where approved for use in that country"
"2020","Sclerotinia sclerotiorum",,"Class: Leotiomycetes; Order: Helotiales; Family: Sclerotiniaceae","First isolated from a diseased thistle found in Canada","For commercial applications it is produced by controlled fermentation","Thistles from species of the family Carduus and Cirsium including <i>Carduus acanthoides</i> & <i>Cirsium vulgare</i>","Land management","Pasture, rangeland, amenity land","Sclerodex","AgResearch",,,,,,
"2021","Serratia entomophila",,"Class: Eubacteriales; Order: Enterobacteriaceae","Originally isolated from infected grass grubs in New Zealand","For commercial applications it is produced by controlled fermentation","New Zealand grass grub (<i>Costelytra zealandica</i>)","Land management","Established pasture","Bioshield Grass Grub","Ballance Agri-Nutrients Ltd","Invade","Wrightson Seeds",,,"New Zealand",
"2022","Spodoptera exigua nucleopolyhedrovirus",,"Class: Baculoviridae; Order: Nucleopolyhedrovirus","Originally isolated from the beet armyworm (<i>Spodoptera exigua</i> (Hubner))","Produced in larvae under controlled conditions","Beet armyworm (<i>Spodoptera exigua</i>)","Crop protection","Various outdoor and protected crops inclduing cotton, vegetables, tobacco, tomato, grapes and ornamentals","Spod-X GH","Certis","Spexit","Andermatt Biocontrol AG",,,,"Suitable for use in organic farming and for IPM where approved for use in that country"
"2023","Spodoptera litura nucleopolyhedrovirus",,"Class: Baculoviridae; Order: Nucleopolyhedrovirus","Originally isolated from the beet armyworm (<i>Spodoptera litura</i> (Hubner))","Produced in larvae under controlled conditions","Beet armyworm (<i>Spodoptera litura</i>)","Crop protection","Various outdoor and protected crops inclduing cotton, vegetables, grapes and ornamentals","Spodostar-Sl -SlNPV","Andermatt Biocontrol AG","Spodostar","AgriLife",,,"India","Suitable for use in organic farming and for IPM where approved for use in that country"
"2024","Spodoptera littoralis nucleopolyhedrovirus",,"Class: Baculoviridae; Order: Nucleopolyhedrovirus","Originally isolated from the Egyptian cotton leafworm (<i>Spodoptera littoralis</i>)","Produced in larvae under controlled conditions","Mediterranean Brocade moth (<i>Spodoptera littoralis</i>) larvae","Crop protection","Various outdoor and protected crops including cotton, vegetables, tomatoes, soybean, sugarcane, sugar beet, fruit, grapes and ornamentals","Littovir","Andermatt Biocontrol AG",,,,,,"Suitable for use in organic farming and for IPM where approved for use in that country"
"2025","Steinernema carpocapsae",,"Class: Nematoda; Order: Steinernematidae","Originally found in Europe but is now found world-wide","Produced commerically by controlled fermentation","Vine weevil (<i>Otiorhyncus sulcatus</i>), codling moth and root-zone soil insects including root weevils, armyworms, fungus gnats and stem borers","Crop protection","Fruit and glasshouse crops","Millenium","Becker Underwood","Nematac C","Becker Underwood","Steinernema carpocapsae","Arbico","USA, Canada","Suitable for use in organic farming and for IPM where approved for use in that country"
"2026","Steinernema feltiae",,"Class: Nematoda; Order: Steinernematidae","Originally found in Europe but is now found world-wide","Produced commerically by controlled fermentation","Various insects including scarid flies, vine weevils, fungus gnats, leaf miners and other soil insects","Crop protection","Fruit, vegetables, ornamentals and other glasshouse crops","Steinernema-System","BioBest Inc.","Steinernema feltiae Nematodes","Buglogical Control Systems","Exhibit SF","Syngenta Bioline","Netherlands, Canada, New Zealand","Suitable for use in organic farming and for IPM where approved for use in that country"
"2027","Steinernema glaseri",,"Class: Nematoda; Order: Steinernematidae","Originally isolated from dead beetle larvae found in soil in New Jersey, USA","Produced commerically by controlled fermentation","Japanese beetle (<i>Popillia japonica</i>)","Crop protection","Turf","Steinernema glaseri","Praxis","Steinernema glaseri","Greenfire",,,,"Suitable for use in organic farming and for IPM where approved for use in that country"
"2028","Steinernema kraussei",,"Class: Nematoda; Order: Steinernematidae","Widely found in temperate soils and is indigenous to Northern Britain. First identified in the body cavity of a dead sawfly in Czechoslovakia. ","Produced commerically by controlled fermentation","Vine weevils, sawflies and other soil insects","Crop protection","Fruit and vegetables","Nemasys L","Fargrow","Kraussei-System","BioBest Inc.","Exhibitline sk","Syngenta Bioline","Sold with no registration required in: Belgium, Canada, Denmark, Ireland, Finland, France, Germany, Netherlands, Italy, Norway, Spain, UK, USA","Suitable for use in organic farming and for IPM where approved for use in that country"
"2029","Steinernema riobrave",,"Class: Nematoda; Order: Steinernematidae","First recovered from corn earworms in soils in the USA","Produced commerically by controlled fermentation","Various insects including mole crickets, sugar cane rootstalk borer (<i>Diaprepes abbreviatus</i>), citrus weevils (<i>Pachnaeus litus</i>) and corn earworms","Crop protection","Citrus, turf, sugar cane and maize crops","Biovector","Rincon-Vitova","Biovector","Becker Underwood Inc.",,,"USA","Suitable for use in organic farming and for IPM where approved for use in that country"
"2030","Steinernema scapterisci",,"Class: Nematoda; Order: Steinernematidae","First identified in mole crickets in Brazil but soon after identified in other South American locations","Produced commerically by controlled fermentation","Mole crickets (<i>Scapterisci vicinus</i>)","Pasture, onamental, sports & amenity grass management","Turf, pasture","Nematac S","Becker Underwood Inc",,,,,"Florida, USA, Canada","Suitable for use in organic farming and for IPM where approved for use in that country"
"2031","Streptomyces K61",,"Class: Actinobacteria; Order: Actinomycetales; Family: Streptomycetaceae","Gram-positive soil bacterium naturally occuring in soil and originally isolated from Sphagnum peat in Finland","Produced commerically by controlled fermentation and then freeze drying of the harvested micro-organism","Various fungal diseases including <i>Fusarium spp., Alternaria spp., Pythium spp., Phytophthora spp.</i> and <i>Botyrtis spp.</i>","Crop protection","Glasshouse vegetables, herbs and ornamentals","Mycostop","Verdera Oy",,,,,"USA; Canada, Denmark, Finland, Hungary, Italy, Netherlands, Norway, Spain, Sweden","Suitable for use in organic farming and for IPM where approved for use in that country"
"2032","Streptomyces lydicus",,"Class: Actinobacteria; Order: Actinomycetales; Family: Noctuoidea","The strain WYEC 108 was originally obtained from English agricultural soil but commonly found in most soil environments","Produced commerically by controlled fermentation followed by freeze-drying of the harvested micro-organism","Various fungal diseases including <i>Fusarium spp., Alternaria spp., Pythium spp., Phytophthora spp.</i> and <i>Botyrtis spp.</i>","Crop protection; landscape management","Glasshouse vegetables, turf, nursery crops and ornamentals","Actinovate","Natural Industries Inc",,,,,"USA, Canada, Turkey","Suitable for use in organic farming and for IPM where approved for use in that country"
"2033","Talaromyces flavus",,"Class: Ascomycetes; Order: Eurotiales; Family: Trichocomaceae","Originally isolated from soil collected from cucumber greenhouses in Iran","Produced commerically by controlled fermentation","Soil-borne diseasesa including Verticllium wilt, <i>Sclerotinia sclerotiorum</i> and <i>Rhizoctinia solani</i>","Crop protection","Tomatoes, cucumber, strawberries, aubergines, oilseed rape and other crops","Protus WG","Prophyta GmbH",,,,,,"Suitable for use in organic farming and for IPM where approved for use in that country"
"2034","Trichoderma harzianum strain ITEM 908",,"Class: Sordariomycetes; Order: Hypocreales; Family: Hypocreaceae","A common soil fungus originally isolated from soil from Apulia, Italy","Produced commercially by controlled fermentation","Soil and foliar pathogens including Pythium, Rhizoctonia, Fusarium and Botrytis spp.","Crop protection; forestry","Range of food crops including tomatoes and cucumbers in the field or in greenhouses","Trianum-P","Koppert",,,,,"South Africa, Kenya, India","Suitable for use in organic farming and for IPM where approved for use in that country"
"2035","Trichoderma harzianum strain T-39",,"Class: Sordariomycetes; Order: Hypocreales; Family: Hypocreaceae","This particular strain was isolated in Israel from the microflora on the surface of a plant","Produced commerically by controlled fermentation","Soil and foliar pathogens including Sclerotinia and Botrytis","Crop protection","Wide range of food crops including vegetables, fruit and vines both outdoors and under cover. Note use with certain food crops is not recommended due to possible phytopathogenic attributes e.g. top fruit","Trichodex","Makheshim-Agan","Bio-Fungus","DCM",,,"USA, South Africa, India","Suitable for use in organic farming and for IPM where approved for use in that country"
"2036","Trichoderma harzianum strain T-22",,"Class: Sordariomycetes; Order: Hypocreales; Family: Hypocreaceae","This strain was originally derived from the fusion of two auxotropic strains T-95 & T-12.","Produced commerically by controlled fermentation","Soil and foliar pathogens including Pythium, Rhizoctonia, Fusarium and Botrytis","Crop protection","Wide range of crops including vegetables, ornamentals, soybean, rice, sugarcane and maize both outdoors and under cover.","Trianum-P","Koppert Biological Systems","T-22 Planter Box Biological Fungicide","BioWorks Ltd","Plantshield","Bioworks Ltd","USA, South Africa, India, Canada","Suitable for use in organic farming and for IPM where approved for use in that country"
"2037","Trichoderma harzianum strain TH35",,"Class: Sordariomycetes; Order: Hypocreales; Family: Hypocreaceae","Common component of soil microflora found in the rootzone of germinating plants","Produced commerically by controlled fermentation","Soil and foliar pathogens including Pythium, Rhizoctonia, Fusarium and Sclerotium","Crop protection","Wide range of crops including vegetables and ornamentals both outdoors and under cover.","Root-Pro","Mycontrol",,,,,,"Suitable for use in organic farming and for IPM where approved for use in that country"
"2038","Trichoderma harzianum strain TH315",,"Class: Sordariomycetes; Order: Hypocreales; Family: Hypocreaceae","Common component of soil microflora found in the rootzone of germinating plants","Produced commerically by controlled fermentation","Soil and foliar pathogens including Pythium, Rhizoctonia, Fusarium and Sclerotium","Crop protection","Wide range of crops including vegetables and ornamentals both outdoors and under cover.","Root-Pro","Mycontrol",,,,,,"Suitable for use in organic farming and for IPM where approved for use in that country"
"2039","Trichoderma gamsii strain ICC080",,"Class: Sordariomycetes; Order: Hypocreales; Family: Hypocreaceae","Naturally occuring fungi originally isolated from soil in Italy","Produced commerically by controlled fermentation","Soil- and seed-borne pathogens including Rhizoctonia, Pythium and Armillaria","Crop protection; water treatment","Wide range of crops including tomatoes, vegetables, cereals, potatoes, citrus, soybean, sugarcane and many others","Tricopar-V","Exotic Naturals","Bio AquaGuard","SOM Phytopharma",,,,"Suitable for use in organic farming and for IPM where approved for use in that country"
"2040","Trichoderma polysporum strain IMI 206039",,"Class: Deuteromycetes; Order: Hypomycetes; Family: Hypocreaceae","Originally isolated from trees in Sweden but commonly found throughout the world","Produced commerically by controlled fermentation","<i>Botrytis cinerea; Chondrostereum purpureum</i>","Crop protection","Wide range of crops including soft fruit and ornamental trees","Binab TF WP","BINAB Bio-Innovation AB, Sweden",,,,,"USA, Germany, Sweden, Denmark","Suitable for use in organic farming and for IPM where approved for use in that country"
"2041","Trichoderma asperellum strain ICC012",,"Class: Sordariomycetes; Order: Hypocreales; Family: Hypocreaceae","Originally isolated from soil in Sweden","Produced commerically by controlled fermentation","Soil-borne pathogens including Pythium, Rhizoctonia and Fusarium spp.","Crop protection","Tomatoes, Cucumbers","Trianum-P","Koppert","Tenet WP","Isagro USA","Remedier WP","Isagro USA","USA, Kenya","Suitable for use in organic farming and for IPM where approved for use in that country"
"2042","Trichoderma asperellum strain T11",,"Class: Sordariomycetes; Order: Hypocreales; Family: Hypocreaceae","Originally isolated from soil","Produced commerically by controlled fermentation","Soil-borne pathogens including Pythium, Rhizoctonia and Fusarium spp.","Crop protection","Tomatoes, Cucumbers","Trianum-P","Koppert",,,,,"Kenya","Suitable for use in organic farming and for IPM where approved for use in that country"
"2043","Trichoderma asperellum strain T34",,"Class: Sordariomycetes; Order: Hypocreales; Family: Hypocreaceae","Originally isolated from a natural suppressive compost-peat mix. <i>Trichoderma spp.</i> are present in most soils and many other media including decaying wood and vegetable matter in both temperate and tropical areas.","Produced commerically by controlled fermentation","Soil-borne pathogens including Fusarium wilt disease (caused by <i>Fusarium oxysporium</i> f. Sp. Dianthi), damping-off and rot","Crop protection usually in a protected environment such as a glasshouse","Tomatoes, cucumbers, ornamentals including carnations.","T34 Biocontrol",,,,,,,"Suitable for use in organic farming and for IPM where approved for use in that country"
"2044","Trichoderma atroviride strain IMI 206040",,"Class: Sordariomycetes; Order: Hypocreales; Family: Hypocreaceae","Originally isolated from soil","Produced commerically by controlled fermentation","<i>Botrytis cinerea; Chondrostereum</i>","Crop protection","Strawberries, ornamental trees",,,,,,,"USA, Germany, Sweden, Denmark, New Zealand","Suitable for use in organic farming and for IPM where approved for use in that country"
"2045","Trichoderma atroviride strain T11",,"Class: Sordariomycetes; Order: Hypocreales; Family: Hypocreaceae","Originally isolated from soil","Produced commerically by controlled fermentation","Various soil-borne fungal pathogens including <i>Pythium, Rhizoctonia and Fusarium spp.</i>","Crop protection","Tomatoes","Trianum-P","Koppert",,,,,,"Suitable for use in organic farming and for IPM where approved for use in that country"
"2046","Trichoderma atroviride strain I-1237",,"Class: Ascomycetes; Order: Hypocreales; Family: Hypocreaceae","Originally isolated from soil, very common in both temperate and tropical soils, indigenous to Europe","Produced commerically by controlled fermentation","Found to have strong antagonistic capacity for wound prune diseases e.g. Esca pathogens & <i>Eutypa lata</i>. Also used for the control of root diseases and damping off.","Crop protection, Nursery disease control","Vines, vegetable crops, top fruit","Esquive WP","Agrauxine",,,,,,"Suitable for use in organic farming and for IPM where approved for use in that country"
"2047","Trichoderma atroviride strain TV1",,"Class: Sordariomycetes; Order: Hypocreales; Family: Hypocreaceae","Originally isolated from soil close to tomato plants in Italy","Produced commerically by controlled fermentation","Various soil-borne fungal pathogens including Pythium, Rhizoctonia and Fusarium spp.","Crop protection","Tomatoes","Trianum-P","Koppert","Virisan",,,,,"Suitable for use in organic farming and for IPM where approved for use in that country"
"2048","Trichoderma stromaticum",,"Class: Sordariomycetes; Order: Hypocreales; Family: Hypocreaceae","A mycoparasite of <i>Crinipellis perniciosa</i> that was originally isolated from brooms in the Northern State of Pará in the Amazon","Produced commerically by controlled fermentation","Witches broom disease (<i>Crinipellis perniciosa</i>)","Crop protection","Cocoa trees (<i>Theobroma cacao</i>)","Tricovab","Ceplac, Brazil",,,,,"Brazil","Suitable for use in organic farming and for IPM where approved for use in that country"
"2049","Trichoderma virens strain GL-21",,"Class: Sordariomycetes; Order: Hypocreales; Family: Hypocreaceae","A fungi common in the rhizosphere and originally isolated from soil in the USA","Produced commerically by controlled fermentation","Various fungal pathogens including Fusarium, Pythium and Sclerotium","Crop protection; landscape management","Various food crops, ornamentals and turf in both the field and greenhouse","SoilGard 12G","Certis",,,,,"USA","Suitable for use in organic farming and for IPM where approved for use in that country"
"2050","Vairimorpha necatrix",,"Class: Microspora; Order: Microsporidia","Originally isolated from Armyworm (<i>Pseudaletia unipuncta</i>) larvae in Hawaii","Grown in controlled conditions where Armyworm larvae are exposed to the microsporidium, mature spores are harvested from the insects.","Various Lepidopteran species including <i>Helicoverpa zea, Ostrinia nubilalis</i> and <i>Spodoptera spp.</i>","Crop protection","Various field crops including vegetables, maize, cotton and soybean","None identified","None identified",,,,,,
"2051","Xanthomonas campestris",,"Class: Pseudomonadales; Order: Pseudomonadaceae","Originally isolated from infected annual meadow grass (<i>Poa annua</i>)","Produced by controlled fermentation","Annual meadowgrass (<i>Poa annua</i>)","Land management; landscape management","Turf, amenity and recreational grass, ornamental lawns","Xpo","Ecosoil Systems Inc",,,,,,
"2052","canola oil",,,"Obtained from the seeds of rape plants <i>Brassica napus</i> and <i>brassica campestris</i>","Extracted by crushing the rape seeds","Wide range of insect pests including mosquitoes","Crop protection","Wide range of crops including fruit, citrus, nuts, vegetables, ornamentals and houseplants","Canola Oil","Neudorff",,,,,,"Suitable for use in organic farming and for IPM where approved for use in that country"
"2053","dihydroazadirachtin",,,"One of the components within the extract derived from the Neem tree (<i>Azadirachta indica</i> A. Juss) or from Neem oil","Isolated from Neem tree seed extracts","Wide variety of insects including ants, aphids, armyworms, thrips, flies, miners and the colorado beetle","Crop protection","Vegetables, potatoes, protected crops, ornamentals and others","DAZA","SOM Phytopharma","DAZA","Thermo Trilogy Inc",,,,"Suitable for use in organic farming and for IPM where approved for use in that country"
"2054","garlic extract",,,"Extracted from the garlic plant (<i>Allium sativum</i>)","Extracted from the garlic plant (<i>Allium sativum</i>)","All phytophagous insects, rabbits, various nematodes, small mammals","Crop protection","Vegetables, potatoes, root crops, horticultural and ornamental crops","Garlic Barrier","Green Spot","Garlic Grow","Garlic Research","EcoGuard Granules",,,"Suitable for use in organic farming and for IPM where approved for use in that country"
"2056","jojoba oil",,,"Extracted from the seed of the jojoba (<i>Simmondsia californica</i>) bean","Commercial scale production extracting oil from the plant seeds","White flies, powdery mildew","Crop protection - in the field and greenhouse","Fruit, vegetables, cotton, ornamentals, vines","Detur","Ijo Products Inc.","Permatrol","Soil Technologies",,,"USA","Suitable for use in organic farming and for IPM where approved for use in that country"
"2057","karanjin",,,"Originally extracted from the pongam (<i>Pongamia pinnata</i>) also known as the Indian beech tree (<i>Derris indica</i>)","Commercial scale production extracts the substance from grinded seeds","Chewing and sucking insects including mites, scales, thrips, caterpillars and aphids. ","Crop protection","Wide range of crops including vegetables, protetcted crops, ornamentals, coffee, cotton, tea and tobacco.","Derisom Karanjin Bio Pesticide","AgriLife","Derisom","SOM Phytapharma",,,"India","Suitable for use in organic farming and for IPM where approved for use in that country"
"2058","macleaya extract",,,"Extracted from the pink plume poppy (<i>Macleaya cordata</i>)","Extracted directly from poppy plants","Various foliar fungal diseases including powdery mildew, alternaria leaf spot and septoria leaf spot","Crop protection - glasshouses","Ornamental crops ","Qwel","Camas Technologies Ltd",,,,,"YSA","Suitable for use in organic farming and for IPM where approved for use in that country"
"2059","maple lactone",,,"Naturally occurring chemical found in the sap of various trees of the Acer genus","Extracted directly from Acer trees","Cockroaches","Public health","Amenity areas, domestic situations","Cockroach bait","Babolna Bioenvironmental Centre Ltd.",,,,,,
"2060","mildiomycin","AR-1F1870",,"A substance produced naturally by the soil actinomycetes <i>Streptoverticillium rimofaciens</i> strain B-98891","Produced commerically by controlled fermentation","Powdery mildews","Crop protection","Ornamentals","None identified","None identified",,,,,,
"2061","milsana","BAS 114 UBF",,"An organic extract from the giant knotweed plant (<i>Reynoutria sachalinensis</i>)","Extracted from plants grown in commercial plantations and partially refined to formulate the end product","Wide range of fungal pathogens including <i>Botrytis spp.</i> and <i>Oidium spp.</i>","Crop protection - greenhouses","Ornamentals, fruit, vines and vegetables","Milsana Bioprotectant Concentrate","KHH BioSci, Inc.","Milsana","BIOFA Bio-farming Systems",,,"USA","Suitable for use in organic farming and for IPM where approved for use in that country"
"2063","octenol",,,"Octenol is produced by several plants and fungi, including edible mushrooms","Maufactered for use as an insect repellent","Certain species of mosquitoes and biting flies","Non-food use",,"Octenol lure","AgriSense BCS Ltd","Mosquito Magnet","American Biophysics Corporation","Mosquito Attractant Emitter Strip","Hercon Environmental Corp","USA",
"2064","polyoxorim",,,"A secondary metabolite of the soil actinomycetes <i>Streptomyces cacaoi</i> var. Asoenis.","Produced by controlled fermentation for commerical use","Rice sheath blight (<i>Rhizoctonia solani</i>) and apple and pear cankers","Crop protection","Rice, top fruit, turf","Endorse","Kaken",,,,,,
"2065","rosemary oil",,,"Derived from the perennial Rosemary herb (<i>Rosmarinus officinalis</i>)","Extracted directly from plants grown specifically for its production","Wide range of agricultural insect pests including aphids, ants, beetles and mites","Crop protection; food handling areas; domestic gardens","Vegetables, soft fruit, top fruit, nuts","EcoExempt ","EcoSmart","Sporan","EcoSmart","Biorganic Crawling Insect Killer","Biorganic",,"Suitable for use in organic farming and for IPM where approved for use in that country"
"2066","strychnine",,,"A toxic plant alkaloid extracted from seeds of <i>Strychnos</i> or <i>Loganiaceae</i> spp. found predominately in southern Asia",,"Rodents","Pest control",,"Gopher-gitter",,"Mouse-tox",,,,,
"2067","ryanodine",,,"An alkaloid orginially extracted from the stems of various Ryania species including Ryania speciosa which are found in tropical America","Extracted directly from ground plant stems","Codling moth, European corn borer, citrus thrips","Crop protection","Maize, top fruit, citrus fruit","Natur-Gro R50","AgriSystems international","Ryan 50","Dunhill Chemicals",,,,"Suitable for use in organic farming and for IPM where approved for use in that country"
"2068","9,21-didehydroryanodine",,,"An alkaloid orginially extracted from the stems of various Ryania species including Ryania speciosa","Extracted directly from ground plant stems","Codling moth, European corn borer, citrus thrips","Crop protection","Maize, top fruit, citrus fruit","Natur-Gro R50","AgriSystems international","Ryan 50","Dunhill Chemicals",,,,"Suitable for use in organic farming and for IPM where approved for use in that country"
"2069","Aceria malherbae",,"Order: Acari; Family: Eriophyidae","Originally identified in Greece but also originates from France and Italy but now widespread in Europe and northern Africa. ","Reared for commercial use on field bindweed (<i>Convolvulus arvensis</i>) plants","Bindweed (<i>Convolvulus arvensis</i> & <i>Calystegia spp.</i>)","Crop protection","Bindweed (<i>Convolvulus arvensis</i> & <i>Calystegia spp.</i> )","Aceria malherbae","Praxis",,,,,"USA",
"2070","Agapeta zoegana",,"Order: Lepidoptera; Family: Cochylidae","A moth that occurs widely in Europe and now widespread in amny parts of the world.","Can be collected from moth populated areas or reared commerically on knapweed plants.","Spotted knapweed (<i>Centaurea maculosa</i>) and Diffuse knapweed (<i>Centaurea diffusa</i>)","Range land management","Spotted knapweed (<i>Centaurea maculosa</i> ) and Diffuse knapweed (<i>Centaurea diffusa</i> )","Agapeta zoegana","Praxis",,,,,"USA",
"2071","Agasicles hygrophila",,"Order: Coleoptera: Family: Chrysomelidae","A leaf beetle native to Argentina that feeds on the aquatic plant Alligatorweed (<i>Alternanthera philoxeroides</i>)","Not produced commerically","Alligatorweed (<i>Alternanthera philoxeroides</i>)","Waterways management","Alligatorweed (<i>Alternanthera philoxeroides</i> )","Not commercially available","None",,,,,"USA",
"2072","Agrilus hyperici",,"Order: Coleoptera; Family: Buprestidae","A root-eating jewel beetle native to most of Europe, first samples were found in France and Australia","Produced commerically on St Johns Wort plants","St John's Wort (<i>Hypericum perforatum, Hypericum montanum</i>)","Grassland management","St John's Wort (<i>Hypericum perforatum</i> )","Agrilus hyperici","Praxis","Agrilus hyperici","BioCollect",,,"USA",
"2073","Amblyseius barkeri",,"Order: Acari; Family: Phytoseiidae","A widespread mite found in Europe, Africa, Israel and parts of the USA.","Reared commercially on living, stored prey mites such as <i>Tyrophagus spp.</i> and <i>Acurus airo</i> fed on bran","Thrips of the families Thysanoptera (Thrips tabaci, <i>Frankliniella occidentalis</i>) & Tarsonemidae","Crop protection","Various glasshouse crops including tomatoes, cucumbers, peppers & ornamentals","Amblyseius barkeri","Biotus, Finland","Thripex","Koppert","Thrips predator","Arbico","Austria, Belgium, Denmark, France, Germany, Italy, Netherlands, Slovakia, Switzerland",
"2074","Amblyseius cucumeris",,"Order: Acari; Family: Phytoseiidae","A widespread mite found in Europe, north Africa, Australia and parts of the USA","Reared commercially on living, stored phytophagous mites such as <i>tyrophagus spp.</i>","Thrips including <i>Frankliniella occidentalis, Frankliniella tritici</i> and <i>Thrips tabaci</i>. Will also attack spider mites.","Crop protection","Various glasshouse crops including tomatoes, cucumbers, peppers & ornamentals. Also field crops in hot climates.","Ambly-line cu","Syngenta bioline","Amblyseius-System","BioBest","Thripes","Koppert Biological Systems","USA, Australia",
"2185","Aprostocetus hagenowii",,"Order: Hymenoptera; Family: Euliophidae","A commonly occurring wasp especially in the presence of cockroaches.","Wasp is bred commercially on the egg cases of the Ammerican Cockroach (<i>Periplaneta americana</i>).","Cockroaches including the American Cockroach (<i>Periplaneta americana</i>), Smokybrown Cockroach (<i>Periplaneta fuliginosa</i>), the Harlequin Cockroach (<i>Neostylopyga rhombifolia</i>) and the Florida Cockroach (<i>Eurycotis floridana</i>)","Interior situations such as warehouses, industrial properties and in domestic situations.",,"Aprostocetus hagenowii","Entocare","Aprostocetus hagenowii","Rincon-Vitova",,,"Belgium, France, Germany, Netherlands, Spain",
"2075","Amblyseius degenerans",,"Order: Acari; Family: Phytoseiidae","A widespread mite found in Africa and Mediterranean countries","Reared commercially on pollen","Thrips, in particular, <i>Frankliniella occidentalis</i> but will also eat spider mites","Crop protection","Various glasshouse crops including peppers, aubergines & ornamentals. ","Amblyseius degenerans","BioBest","Amblyseius degenerans","Farm Chemicals International","Thripans","Koppert Biological Systems","Europe, Tunisia, Turkey, USA",
"2076","Amblyseius fallacis",,"Order: Acari; Family: Phytoseiidae","A widespread mite often found in orchards and is very common in the USA and Canada","Reared commercially on spider mites under controlled conditions","Spider mites, in particular, <i>Tetranychus urticae</i> and <i>Panonychus ulmi</i> but will also eat bamboo mites, citrus mites and flower thrips","Crop protection","Orchards, top fruit, soft fruit, ornamentals and protected vegetables","Amblyseius fallacis","Praxis","Neoseiulus fallacis","Rincon-Vitova","Amblyseius fallacis","Green Spot","USA",
"2077","Amblyseius montdorensis",,"Order: Acari; Family: Phytoseiidae","A widespread and common mite first identified in New Caledonia and reported soon after also Australia, Fiji and Tahiti","Reared commercially on pollen","Spider mites and thrips including <i>Tetranychus urticae</i>, broad mite (<i>Polyphagotarsonemus latus</i>), tomato russet mite (<i>Aculops lycopersici</i>), Western Flower thrip and others.","Crop protection","Protected crops such as strawberries and ornamentals","Ambyline M","Syngenta Bioline",,,,,"USA, New Zealand",
"2078","Amitus spiniferus",,"Order: Hymenoptera; Family: Playgasteridae","The wasp was originally identified in central America but now introduced widely","Reared commercially under controlled conditions on citrus woolly aphids","Citrus woolly aphid (<i>Aleurothrixus floccosus</i>)","Crop protection","Citrus crops, in particular mandarins","None identified","None known",,,,,"USA, France, Italy",
"2079","Anagrus atomus",,"Order: Hymenoptera; Family: Mymaridae","A parasitoid wasp belonging to the family Mymaridae that is widespread globally","Reared commercially under controlled conditions on leafhopper eggs","Leafhoppers (<i>Hauptida maraccana, Arboridia kermanshah, Empousca decipiens, Eupteryx mellissae</i>)","Crop protection","Glasshouse crops particularly tomatoes, cucumbers, eppers & ornamentals but also used on grapes","Anagsure","bcp Certis","Fightahopper","Fargro","Anagline A","Syngenta Bioline",,
"2080","Anagrus epos",,"Order: Hymenoptera; Family: Mymaridae","A parasitoid wasp that is widespread globally","Reared commercially under controlled conditions on leafhopper eggs","Grape Leafhoppers (<i>Erythroneura elegantula</i>), Blackberry leafhoppers, Glasswinged sharpshooter (<i>Homalodisca vitripennis</i>)","Crop protection","Grapes, Backberries",,,,,,,"USA",
"2081","Anagyrus fusciventris",,"Order: Hymenoptera; Family: Encyrtidae","A parasitoid originated in Australia but now widely distributed.","Reared commercially under controlled conditions on long-tailed mealybugs","Mealybugs in particularly <i>Pseudococcus longispinus</i>","Crop protection; interior landscaping","Wide range of crops including top fruit, vegetables, palms, cocoa, potatoes & sugar cane","Anagyrus fusciventris","Entocare",,,,,"USA, Belgium, Denmark, France, Germany, Netherlands, Spain, Australia",
"2082","Anagyrus pseudococci",,"Order: Hymenoptera; Family: Encyrtidae","A parasitic wasp of the Encyritidae family first identified in South America","Reared commercially under controlled conditions on citrus mealybugs","Mealybugs, particularly <i>Planococcus citri & Pseudococcus affinis</i>","Crop protection","Citrus, Grapes & Vines","Anagyrus pseudococci","Praxis","Anagyrus pseudococci","Bio-Bee Biological Systems","Anagyrus pseudococci","Koppert Biological Systems","USA",
"2083","Anaphes flavipes",,"Order: Hymenoptera; Family: Mymaridae","First identified in North America and introduced into Europe in the mid-60s","Produced commerically on eggs of the cereal leaf beetle","Cereal leaf beetle (<i>Oulema melanopus</i> and to a lesser extent <i>Oulema gallaeciana</i>)","Crop protection","Cereals","Anaphes flavipes","Bio-agronomics","Anaphes flavipes","Praxis",,,"USA",
"2084","Anaphes iole",,"Order: Hymenoptera; Family: Mymaridae","First identified in North America and is relatively common both there and in Canada","Produced commerically by parasitising Lygus bugs","Lygus, Tarnished and Four-lined plant bugs","Crop protection","Strawberries and glasshouse crops. Also used on alfalfa and cotton","Anaphes iole","Integrated Pest Management Co","Anaphes iole","TipTop BioControl",,,"USA",
